,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-16,Optimal policies for control of the novel coronavirus (COVID-19),https://www.sciencedirect.com/science/article/pii/S0960077920302836?v=s5,Elsevier,Modeling,"contact rate, quarantine rate, optimal policy",Y,"As well, Fig. 3 shows that the number of quarantined infected population has decreased to zero faster than the case when there is no optimal strategy. Also, based on Fig. 3, the maximum number of infected people has declined significantly, and the population has decreased sharper than the time when no optimal strategy is applying to the system. It can be concluded that the contact rate of susceptible people and individuals in the infectious class must decrease by an optimal strategy, and we need to apply contact and travel restrictions.",Countries: China; Cities: Wuhan,05/27/2020
1,2020-05-15,"A model for COVID-19 with isolation, quarantine and testing as control measures",https://arxiv.org/pdf/2005.07661v1.pdf,ArXiv,Modeling,"lockdown, social contact restriction",Y,"Comparing these four scenarios, we shall deduce that, in order to be effective in containing the outbreak, the lockdown shall address at least 80% of the population reducing their contact rate to about 30% of their usual contacts",Timeline: February 15th - May 6th,05/27/2020
2,2020-05-13,Modeling and forecasting of the COVID-19 pandemic in India,https://arxiv.org/pdf/2005.07071v1.pdf,ArXiv,Modeling,"quarantine, lockdown, social distancing, isolation",Y,"Our study reveals that the strict control measures implemented in India substantially mitigated the disseminate of SARS-CoV-2. Importantly, model simulations predict that 95% reduction of outbreak on June 26, 2020 and 99% reduction of outbreak on July 26, 2020 in India.",Countries: India and seventeen states of India; Timeline: first date of coronavirus infection to April 30th 2020,05/27/2020
3,2020-05-09,Impacts of social and economic factors on the transmission of coronavirus disease 2019 (COVID-19) in China,https://doi.org/10.1007/s00148-020-00778-2,J Popul Econ,Modeling,"public health measures (social distancing, mandatory quarantine, city lockdown)",Y,"We then compare the transmission rates in different time windows. In the first sub-sample, one new infection leads to 2.135 more cases within a week, implying a fast growth in the number of cases. However, in the second sub-sample, the effect decreases to 1.077, suggesting that public health measures imposed in late January were effective in limiting a further spread of the virus.","Countries: China; Timeline: January 19 - February 29, 2020",05/31/2020
4,2020-05-08,A multi-region discrete time mathematical modeling of the dynamics of Covid-19 virus propagation using optimal control,https://doi.org/10.1007/s12190-020-01354-3,J Appl Math Comput,Modeling,"protecting susceptible individuals, preventing their contact with the infected individuals and encouraging the exposed to join quarantine centers",Y,"Figure 10 shows that the number of the exposed individuals in region1 decreases from 868.52 (without controls) to 482.05 (with controls) at the end of the implementation of the proposed strategy. Figure 11 demonstrates that the number of the infected individuals in region 1 decreases from 657.01 (without controls) to 364.95 (with controls) at the end of the implementation of the proposed strategy. Also, the number of the quarantined individuals increases significantly from 10.15 (without controls) to 224.57 (with controls).",-,05/28/2020
5,2020-05-06,Now casting and Forecasting of COVID-19 outbreak in the National Capital Region of Delhi,http://medrxiv.org/cgi/content/short/2020.05.01.20087783v1?rss=1,MedRxiv,Modeling Study,case isolation,Y,Lockdown showed highest reduction (28%) in number of prevalent cases on peak day and 22% reduction in patients in need of intensive care unit (ICU). Case isolation and lockdown together resulted in 50% reduction in number of prevalent cases and 42% reduction in patients in need of ICU care,Countries: India; Timeline: -,05/30/2020
6,2020-05-05,COVID-19 herd immunity strategies: walking an elusive and dangerous tightrope,http://medrxiv.org/cgi/content/short/2020.04.29.20082065v1?rss=1,MedRxiv,Modeling Study,"self isolation, social distancing",Y,"The epidemic would ultimately infect approximately 77% of the population (Fig 2B) and result in around 350 thousand fatalities among individuals aged over 60, and around 60 thousand aged below 60 (Fig 2C). Sustained social-distancing by older individuals (assumed to result in a 90% reduction in contacts with individuals under 25, a 70% reduction with 25-59, and a 50% reduction between one another), and moderately effective self-isolation by symptomatic individuals (at 20% efficacy) results in a shallower epidemic curve (Fig 2D) and a much smaller outbreak size among individuals aged 60+",Countries: The UK; Timeline: -,05/30/2020
7,2020-05-01,Modeling serological testing to inform relaxation of social distancing for COVID-19 control,http://medrxiv.org/cgi/content/short/2020.04.24.20078576v1?rss=1,MedRxiv,Modeling Study,Increased antibody testing,Y,"However, if annual serological testing of the US population (1 million tests/day) is implemented alongside relaxation of social distancing, expected deaths fall to 437,000, saving 119,000 lives",Countries: United States; Timeline: -,05/30/2020
8,2020-05-01,Modeling serological testing to inform relaxation of social distancing for COVID-19 control,http://medrxiv.org/cgi/content/short/2020.04.24.20078576v1?rss=1,MedRxiv,Modeling Study,Social distancing,Y,"Without any intervention, our model predicts that 86% of the US population would be infected with SARS-CoV-2 by January 2021, resulting in 940,000 deaths. Social distancing has the 30 potential to greatly reduce this burden, with indefinite social distancing reducing cumulative deaths by 88% and leading to a flattened epidemic curve",Countries: United States; Timeline: -,05/30/2020
9,2020-04-30,COVID-19 Control Strategies and Intervention Effects in Resource Limited Settings: A Modeling Study,http://medrxiv.org/cgi/content/short/2020.04.26.20079673v1?rss=1,MedRxiv,Modeling,"lockdown, physical distancing, active case finding intervention",Y,Following a month long lockdown with ongoing physical distancing measures and an active case finding intervention that detects 5% of the daily infection burden could reduce projected morality and peak demand by more than 99%.,Countries: Nepal; City: Kathmandu; Timeline: beginning on March 24,05/28/2020
10,2020-04-29,"Effectiveness of isolation, testing, contact tracing and physical distancing on reducing transmission of SARS-CoV-2 in different settings",http://medrxiv.org/cgi/content/short/2020.04.23.20077024v1?rss=1,MedRxiv,Modeling,"limits placed on gatherings outside of home/school/work, contact tracing and isolation",Y,"We estimated that if some level of physical distancing were maintained, it could supplement the reduction in transmission from contact tracing. For example, if daily contacts in ‘other’ settings (i.e. outside the home, work and school) were limited to four people (the mean number made in our dataset), our model suggested that manual tracing of acquaintances only could lead to a 64% reduction in transmission, and app-based tracing a 53% reduction.","Countries: UK; 40,162 participants",05/28/2020
11,2020-04-29,Detection and isolation of asymptomatic individuals can make the difference in COVID-19 epidemic management,http://medrxiv.org/cgi/content/short/2020.04.23.20077255v1?rss=1,MedRxiv,Modeling Study,"case-isolation, general social distancing, banning of public gatherings, university closures",Y,"Based on European case growth rates, and in agreement with the parameters we set for our model, we presumed a basic reproduction number of 4[2]. We assumed that mitigation measures (case-isolation, general social distancing, banning of public gatherings, university closures) lower R0 to 2 and suppression measures (complete lockdown or quarantine of the whole population except for essential activities) could make R0≤1",Countries: Argentina; Timeline: -,05/30/2020
12,2020-04-27,Proactive social distancing mitigates COVID-19 outbreaks within a month across 58 mainland China cities,https://www.medrxiv.org/content/10.1101/2020.04.22.20075762v2.full.pdf,MedRxiv,Modeling Study,gathering bans; suspension of intra-city public transport; public service restrictions; case isolation; suspension of travel between cities; quarantine and social distancing,Y,"N/A; after the implementation of social distancing interventions, with an average reduction in the reproduction number (Rt) of 54.3% (SD 17.6%) over that time period","Countries: China; Timeline:  February 14, 2020",05/11/2020
