,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-04-21,Estimating the impact of non-pharmaceutical interventions on documented infections with COVID-19: A cross-country analysis,https://www.medrxiv.org/content/10.1101/2020.04.16.20062141v1.full.pdf,MedRxiv,Modeling Study,work ban: closure of non-essential business activities,Y,work bans on non-essential business activities (31 %; 95% CI 16-44 %) reduction in number of new cases,"Countries: United States, Canada, Australia, the EU-15 countries, Norway, and Switzerland; Timeline:  April 15, 2020",05/11/2020
1,2020-04-14,Estimating cost-benefit of quarantine length for COVID-19 mitigation,https://doi.org/10.1101/2020.04.09.20059790,MedRxiv,Modeling Study,reduction of workplace size,Y,"With our parameters this is reproduced by a infection rate of 1 person per day per infected and a basic reproduction number R0 ∼ 5 (as we allow transmission in both directions when selecting two people, this is simulated by a rate for transmission of 0.5 per day per encounter);A similar comparison of the effects of reducing workplace sizes by half. This strategy is also relatively more effective if infection probability is reduced. The strategy reduces peak height by 28 % at a lowered infection probbility versus only 12 % if infection probability remains high",Countries: - ; Timeline: -,05/28/2020
2,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,workplace distancing,Y,"For the baseline scenario, when R0 was 1·5, the median cumulative number of infections at day 80 was 279 000 (IQR 245 000–320 000), corresponding to 7·4% (IQR 6·5–8·5) of the resident population of Singapore; Workplace distancing total number of infections 4 000 (200 - 23 000)",Countries: Singapore; Timeline: 80 days,04/08/2020
3,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,workplace distancing,Y,"For the baseline scenario, when R0 was 2·0, the median cumulative number of infections at day 80 was 727 000 cases (670 000–776 000) when R0 was 2·0, corresponding to 19·3% (17·8–20·6) of the Singaporean population; Workplace distancing total number of infections 67 000 (11 000 - 145 000)",Countries: Singapore; Timeline: 80 days,04/08/2020
4,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study The Lancet Infectious Diseases,https://doi.org/10.1016/S1473-3099(20)30162-6,Lancet Infect Dis,Modeling Study,workplace distancing,Y,"For the baseline scenario, when R0 was 2·5, the median cumulative number of infections at day 80 was 1 207 000 cases (1 164 000–1 249 000) corresponding to 32% (30·9–33·1) of the Singaporean population; Workplace distancing total number of infections 466 000 (175 000 - 728 000)",Countries: Singapore; Timeline: 80 days,04/08/2020
5,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,workplace non-attendance,Y,"66% infection rate (179,788 infected individuals) - no activation delay; 50% Workplace Non-attendance (WN) : 58.77% IR (160,085) 90% WN: 48.89% IR (133,181)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
6,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,workplace non-attendance,Y,"1 week delay: 50% WN : 58.75% IR (160,044); 90% WN: 48.93% IR (133,283)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
7,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,workplace non-attendance,Y,"2 week delay: 50% WN : 58.80% IR (160,182); 90% WN: 48.86% IR (133,109)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
8,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,workplace non-attendance,Y,"3 week delay :50% WN : 58.70% IR (159,901); 90% WN: 48.86% IR (133,100)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
9,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,workplace non-attendance,Y,"4 week delay: 50% WN : 58.71% IR (159,940); 90% WN: 48.75% IR (132,794)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
10,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040055,medRxiv,Modeling Study,workplace non-attendance,Y,"5 week delay: 50% WN : 58.69% IR (159,874); 90% WN: 48.97% IR (133,407)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
11,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040056,medRxiv,Modeling Study,workplace non-attendance,Y,"6 week delay: 50% WN : 58.69% IR (159,877); 90% WN: 48.91% IR (133,247)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
12,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040057,medRxiv,Modeling Study,workplace non-attendance,Y,"7 week delay: 50% WN : 58.69% IR (160,008); 90% WN: 48.91% IR (133,278)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
13,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040058,medRxiv,Modeling Study,workplace non-attendance,Y,"8 week delay: 50% WN : 58.74% IR (160,389); 90% WN: 48.93% IR (133,777)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
14,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040059,medRxiv,Modeling Study,workplace non-attendance,Y,"9 week delay: 50% WN : 58.88% IR (160,285); 90% WN: 49.11% IR (134,473)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/08/2020
15,2020-03-23,The Effectiveness of Social Distancing in Mitigating COVID-19 Spread: a modelling analysis,https://doi.org/10.1101/2020.03.20.20040060,medRxiv,Modeling Study,workplace non-attendance,Y,"10 week delay: 50% WN : 58.84% IR (160,728); 90% WN: 49.36% IR (135,223)",countries: Australia; cities: Newcastle; timeline: 10 weeks,04/18/2020
16,2020-03-19,SOCRATES: An online tool leveraging a social contact data sharing initiative to assess mitigation strategies for COVID-19,https://doi.org/10.1101/2020.03.03.20030627,medRxiv,Modeling Study,telework,Y,N/A; a predicted 10% decrease in R0 with a telework proportion of 50%.,"countries: Belgium, Finland, Germany, Italy, Luxembourg, Netherlands, Poland, France, Hong Kong, China, Peru, Zimbabwe, Zambia, South Africa, Vietnam, UK; timeline: 12th March 2020,",04/30/2020
17,2020-02-11,Spatially Explicit Modeling of 2019-nCoV Epidemic Trend based on Mobile Phone Data in Mainland China,https://doi.org/10.1101/2020.02.09.20021360,medRxiv,Modeling Study,resumption of work,Y,"the current trend maintained, control efforts expanded, and person-to-person contact increased due to work resuming. We estimated that the total infections in mainland China would be 72172, 54348, and 149774 by March 12, 2020 under each scenario respectively; if the current trend is maintained (scenario 1), 95.4% cities can eliminate the disease by the end of February and all of them can succeed by March 12. With control efforts expanded (scenario 2), all cities except Wuhan will completely control the disease by the end of February. However, only 75.7% cities can completely win the battle against 2019-nCoV by the end of February if person-to-person contacts increase due to work resuming (scenario 3)","countries: China; timeline: Feb. 11, 2020 - Mar. 12, 2020",04/15/2020
