,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-26,Containing the Spread of Coronavirus Disease 2019 (COVID-19): Meteorological Factors and Control Strategies,https://doi.org/10.1101/2020.05.23.20111468,medrxiv,Ecological Regression,Temperature,Y,We found that high temperature mitigates the transmission of the disease,countries: 70,05/31/2020
1,2020-05-26,Containing the Spread of Coronavirus Disease 2019 (COVID-19): Meteorological Factors and Control Strategies,https://doi.org/10.1101/2020.05.23.20111468,medrxiv,Ecological Regression,Relative Humidity,Y,"High relative humidity promotes COVID-19 transmission when temperature is low, but tends to reduce transmission when temperature is high",countries: 70,05/31/2020
2,2020-05-25,COVID-19: Effects of weather conditions on the propagation of respiratory droplets,https://doi.org/10.1101/2020.05.24.20111963,medrxiv,Simulation,Temperature,Y,"Our results suggest that high temperature and low humidity promote the formation of aerosol particles, while low temperature and high humidity promote droplet contact transmission",-,05/31/2020
3,2020-05-25,COVID-19: Effects of weather conditions on the propagation of respiratory droplets,https://doi.org/10.1101/2020.05.24.20111963,medrxiv,Simulation,Humidity,Y,"Our results suggest that high temperature and low humidity promote the formation of aerosol particles, while low temperature and high humidity promote droplet contact transmission",-,05/31/2020
4,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Temperature,Y,"We found a robust effect of mean daily temperature, which is best characterized within two regimes, below and above 25oC (Figure 1-C). Temperatures higher than 25oC were associated with lower transmission rates (by 3.7% (CI: 1.9-5.4%) per additional degree) while those below that threshold had a smaller impact (0.4% (0.14-0.66) reduction per degree).",locations: 3739,05/24/2020
5,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Diurnal Temperature,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
6,2020-05-21,"Higher Temperature, Pressure, and Ultraviolet Are Associated with Less COVID-19 Prevalence: Meta-Regression of Japanese Prefectural Data",https://doi.org/10.1101/2020.05.09.20096321,medrxiv,Meta-Regression,Air Temperature,Y,"A slope of the metaregression line was significantly negative for mean air temperature (coefficient, –0.134; P = 0.019; Figure 1, upper panel), mean sea level air pressure (coefficient, –0.351; P = 0.001; Figure 1, middle panel), and mean daily maximum UV index (coefficient, –0.908; P = 0.012; Figure 1, lower panel), which indicated that COVID-19 prevalence decreased significantly as air temperature, air pressure, and UV index increased.",countries: japan,05/24/2020
7,2020-05-20,The Seasonal End of Human Coronavirus Hospital Admissions with Implications for SARS-CoV-2,https://doi.org/10.1101/2020.05.15.20103416,medrxiv,Ecological Regression,Relative Humidity,Y,"Reductions of annual coronavirus activity, as measured by hospital admissions, correlated with increases in indoor RH from 30% to 50%","countries: USA; cities: Boston, Philedelphia",05/31/2020
8,2020-05-18,The effect of ambient temperature on worldwide COVID-19 cases and deaths - an epidemiological study,https://doi.org/10.1101/2020.05.15.20102798,medrxiv,Ecological Regression,Temperature,Y,The median temperature at the time of COVID-19 infection was 9.12°C (10-90th percentile 4.29-17.97°C) whilst the median temperature of the world population for the same period was 9.61°C warmer at 18.73°C (10-90th percentile 4.09-28.49°C) with a notional pvalue = 5.1 x10-11. The median temperature at the time of a COVID-19 death was 9.72°C (10-90th percentile 5.39-14.11°C) whilst the median temperature of the world population was 7.55°C warmer at 17.27°C (10-90th percentile 2.57°C-27.76°C) with a notional p-value = 1.1x10-10. 80% of all COVID-19 related cases and deaths occurred between 4.29°C and 17.97°C.,"cases: 1,605,788; deaths: 103,471",05/24/2020
9,2020-05-18,Influence of wind and relative humidity on the social distancing effectiveness to prevent COVID-19 airborne transmission: A numerical study,https://doi.org/10.1016/j.jaerosci.2020.105585,Journal of Aerosol Science,Simulation,Relative Humidity,Y,"This is because the high RH (99.5%) enhances the hygroscopic growths of the droplets, while the low RH (40%) leads to droplet shrinkage due to the evaporation.",-,05/31/2020
