,Date Published,Study,Study Link,Journal,Study Type,Factors,Influential (Y/N),Excerpt,Measure of Evidence,Added on
0,2020-05-05,Preliminary Results of Seroprevalence of SARS-CoV-2 at Community Clinics in Tokyo,https://doi.org/10.1101/2020.04.29.20085449,MedRxiv,Retrospective Observational,Serological Evaluation,-,Suggests a higher population infected with COVID-19 in metropolitan Tokyo than the national survey,people: 202,5/9/2020
1,2020-05-04,Quantifying human mobility behavior changes in response to non-pharmaceutical interventions during the COVID-19 outbreak in the United States.,https://arxiv.org/abs/2005.01224,arXiv,Simulation,"Mobile Phone Data, Social Distance Index, COVID Cases",Y,"The SDI changes clearly indicate that people stay home more and travel less on weekends, especially on Sundays. People also become less attentive to the outbreak as the outbreak persists",devices: More than 100 million,5/9/2020
2,2020-05-03,A reality check on the use of face masks during the COVID-19 outbreak in Hong Kong,https://doi.org/10.1016/j.eclinm.2020.100356,Eclinicalmedicine,Retrospective Observational,Mask Wearing Practices,Y,"In our study, 94·8% (n = 9683) wore masks of which 83·7% wore disposable surgical masks. However, 13·0% wore them incorrectly; with 35·5% worn ‘inside-out’ or ‘upside-down’; and 42·5% worn too low, exposing the nostrils or mouth.",people: 10211,5/9/2020
3,2020-05-02,Non-compliance with COVID-19-related public health measures among young adults: Insights from a longitudinal cohort study,https://doi.org/10.31235/osf.io/8edbj,SocArXiv,Retrospective Observational,Compliance with Public Health Measures,Y,"Young adults generally complied with COVID-19 public health measures, although compliance with some measures (e.g., cleaning/disinfecting mobile phones, standing 1.5-2 meters apart) was relatively lower. Non-compliance, especially with hygiene-related measures, was more prevalent in males, and in individuals with higher education, higher SES, and a nonmigrant background. Young adults with low trust, including in the government’s measures for fighting the virus, also complied less.",people: 737,5/9/2020
4,2020-05-01,Mapping the intercounty transmission risk of COVID-19 in New York State,https://dx.doi.org/10.2139/ssrn.3582774,SSRN,Simulation,"COVID Cases, and Number of days until 100 cases",Y,Areas with significant transportation connections to counties that had a high case load are at risk of becoming the next outbreak area.,cities: NY; counties: 62,5/9/2020
5,2020-04-28,Modelling the role of media induced fear conditioning in mitigating post-lockdown COVID-19 pandemic: perspectives on India,https://arxiv.org/abs/2004.13777,arXiv,Simulation,"COVID Cases, Mass Media Type, and Fear index",Y,"The present study suggests that, during post-lockdown phase, media induced fear conditioning in conjunction with closure of schools for about one more year can serve as an important non-pharmaceutical intervention to substantially mitigate this pandemic in India",countries: India,5/9/2020
6,2020-04-25,Agent-Level Pandemic Simulation (ALPS) for Analyzing Effects of Lockdown Measures,https://arxiv.org/abs/2004.12250,arXiv,Simulation,COVID Cases and Social Distancing Methods,Y,The ALPS model  provides an efficient yet comprehensive modeling of the spread of infections in a self-contained community model. The model provides quantification of gains in reducing casualties by continued maintenance of restrictive measures in place.,model: ALPS,5/9/2020
7,2020-04-18,What are the Underlying Transmission Patterns of COVID-19 Outbreak? - An Age-specific Social Contact Characterization,https://dx.doi.org/10.1016%2Fj.eclinm.2020.100354,Eclinicalmedicine,Simulation,Different Work Resumption Plans,Y,Strict control of resumption of work is associated with less new cases compared to loose control.,cases: 50650,4/23/2020
8,2020-04-17,"Timing of Community Mitigation and Changes in Reported COVID-19 and Community Mobility - Four U.S. Metropolitan Areas, February 26-April 1, 2020.",10.15585/mmwr.mm6915e2,Morbity and Mortality Weakly Report,Retrospective Observational,"Cumulative number of reported COVID-19 cases, average 3-day percentage change in reported cases, community mobility, and public health intervention",Y,"As policies implemented increased the amount of people leaving home decreased; in all four localities the percentage leaving home was close to 80% on February 26, and by April 1 the percentage leaving home was 42% in New York City, 47% in San Francisco, 52% in Seattle, and 61% in New Orleans.","cities: New York, New Orleans, San Franciso, Seattle",4/23/2020
9,2020-04-15,Voluntary and Mandatory Social Distancing: Evidence on COVID-19 Exposure Rates from Chinese Provinces and Selected Countries,https://dx.doi.org/10.2139/ssrn.3576703,SSRN,Simulation,SIR and different mitigation strategies,Y,"Mandating social distancing is very effective, but is costly in terms of employment loss. However, if targeted isolation towards individuals most likely to spread the infection, the employment loss and infection rate can be somewhat reduced",model: SIR Model,4/23/2020
10,2020-04-11,Association of County-Level Socioeconomic and Political Characteristics with Engagement in Social Distancing for COVID-19,https://doi.org/10.1101/2020.04.06.20055632,MedRxiv,Retrospective Observational,Average Distance Travelled by cell phone data,Y,We find that lower per capita income and greater Republican orientation were associated with significantly reduced social distancing among U.S. counties,devices: 15-17 million Cell Phone Records,4/25/2020
11,2020-04-10,Adoption of Personal Protective Measures by Ordinary Citizens during the COVID-19 Outbreak in Japan,https://doi.org/10.1016/j.ijid.2020.04.014,International Journal of Infectious Disease,Retrospective Observational,"Personal protective methods: hand hygiene, social distancing measures, avoiding touching the eyes, nose and mouth, respiratory etiquette, and self-isolation",Y,"Based on the loose standards, approximately 80% of participants implemented hand hygiene, respiratory etiquette, and self-isolation. However, 67.4% and 59.8% implemented social distancing measures and avoided touching the eyes, nose, and mouth, respectively. The prevalence of the loose and strict standards of implementation of all personal protective measures was 34.7% and 6.5%, respectively.",people: 2400,4/23/2020
12,2020-04-07,Little Risk of the COVID-19 Resurgence on Students in China (outside Hubei) Caused by School Reopening,https://doi.org/10.1101/2020.04.04.20053645,MedRxiv,Simulation,COVID-19 infections on students as transmitted from infected teachers,Y,"The probability of COVID-19 resurgence within one week on students of primary, 48 middle and high schools in China (outside Hubei) is extremely low (<0.2%)",countries: China,4/25/2020
