,Date Published,Study,Study Link,Journal,Study Type,Factors Described,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-08,"Does weather affect the growth rate of COVID-19, a study to comprehend transmission dynamics on human health",https://doi.org/10.1101/2020.04.29.20085795,medRXIV,Simulation,Temperature,Y,Temperature is the most influential parameter that reduces the growth at the rate of 13-16 cases/day with a 1°C rise in temperature.,"countries: USA, Europe, China, Canada, Siberia, Africa, India",5/9/2020
1,2020-05-03,Temperature Decreases Spread Parameters of the New Covid-19 Case Dynamics,https://doi.org/10.3390/biology9050094,Biology,Simulation,Temperature,Y,"Results indicate that high temperatures diminish initial contagion rates, but seasonal temperature effects at later stages of the epidemy remain questionable",countries: 5,5/9/2020
2,2020-04-27,Association between climate variables and global transmission oF SARS-CoV-2,https://doi.org/10.1016/j.scitotenv.2020.138997,Science of the Total Enviroment,Simulation,Temperature,Y,An increase in the average daily temperature by one degree Fahrenheit reduced the number of cases by approximately 6.4 cases/day. COVID-19 mortality showed no significant association with temperature.,countries: 249,5/9/2020
3,2020-04-27,Association between climate variables and global transmission oF SARS-CoV-2,https://doi.org/10.1016/j.scitotenv.2020.138997,Science of the Total Enviroment,Simulation,Precipitation,Y,"For each average inch/day, there was an increase of 56.01 cases/day",countries: 249,5/9/2020
4,2020-04-24,The correlation between the spread of COVID-19 infections and weather variables in 30 Chinese provinces and the impact of Chinese government mitigation plans,https://www.ncbi.nlm.nih.gov/pubmed/32373996,European Review for Medical and Pharmacological Sciences,Ecological Regression,"Relative Humidity, Pressure, Wind Speed, Wind Direction, Rainfall Rate, Snowfall Rate, and Snow Depth",N,"These findings indicate that weather conditions, particularly higher temperatures and short-wave radiation, increase the number of confirmed, fatal, and recovered cases in most of the Chinese provinces.",countries: China; provinces: 26,5/9/2020
5,2020-04-24,The correlation between the spread of COVID-19 infections and weather variables in 30 Chinese provinces and the impact of Chinese government mitigation plans,https://www.ncbi.nlm.nih.gov/pubmed/32373996,European Review for Medical and Pharmacological Sciences,Ecological Regression,Temperature,Y,"These findings indicate that weather conditions, particularly higher temperatures and short-wave radiation, increase the number of confirmed, fatal, and recovered cases in most of the Chinese provinces.",countries: China; provinces: 26,5/9/2020
6,2020-04-24,The correlation between the spread of COVID-19 infections and weather variables in 30 Chinese provinces and the impact of Chinese government mitigation plans,https://www.ncbi.nlm.nih.gov/pubmed/32373996,European Review for Medical and Pharmacological Sciences,Ecological Regression,Short Wave Radiation,Y,"These findings indicate that weather conditions, particularly higher temperatures and short-wave radiation, increase the number of confirmed, fatal, and recovered cases in most of the Chinese provinces.",countries: China; provinces: 26,5/9/2020
7,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRXIV,Ecological Regression,Temperature,Y,"We demonstrate that COVID-19 growth rate increases with reduced ultraviolet light,  higher temperatures, and lower relative humidity",countries: 128; provinces: 98,5/9/2020
8,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRXIV,Ecological Regression,Humidity,Y,"We demonstrate that COVID-19 growth rate increases with reduced ultraviolet light,  higher temperatures, and lower relative humidity",countries: 128; provinces: 98,5/9/2020
9,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRXIV,Ecological Regression,UV Radiation,Y,"We demonstrate that COVID-19 growth rate increases with reduced ultraviolet light,  higher temperatures, and lower relative humidity",countries: 128; provinces: 98,5/9/2020
10,2020-04-21,Effect of weather on COVID-19 spread in the US: A prediction model for India in 2020,https://doi.org/10.1016/j.scitotenv.2020.138860,Science of the Total Enviroment,Ecological Regression,Temperature,Y,"In the US, once the number of newcases in a 10-day interval went over 10,000, the majority of the caseswere found to be reported in states experiencing absolute humidity(AH) in a narrow range of 4 to 6 g/m3, and temperature (T) in a widerrange of 4 °C–11 °C",countries: USA; states: 50,5/9/2020
11,2020-04-21,Effect of weather on COVID-19 spread in the US: A prediction model for India in 2020,https://doi.org/10.1016/j.scitotenv.2020.138860,Science of the Total Enviroment,Ecological Regression,Humidty,Y,"In the US, once the number of newcases in a 10-day interval went over 10,000, the majority of the caseswere found to be reported in states experiencing absolute humidity(AH) in a narrow range of 4 to 6 g/m3, and temperature (T) in a widerrange of 4 °C–11 °C",countries: USA; states: 50,5/9/2020
12,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Temperature and Precipitation,N,Other variables such as precipitation and air temperature up to this point in the study were not significantly correlated with the COVID-19 outbreak,countries: Iran,4/23/2020
13,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Wind Speed,Y,"Areas with low values of wind speed, humidity, and solar radiation exposure have a direct relationship to a high rate of infection that support the virus's survival",countries: Iran,4/23/2020
14,2020-04-17,Investigation of effective climatology parameters on COVID-19 outbreak in Iran,https://doi.org/10.1016/j.scitotenv.2020.138705,Science of the Total Enviroment,Ecological Regression,Solar Radiation,Y,"Areas with low values of wind speed, humidity, and solar radiation exposure have a direct relationship to a high rate of infection that support the virus's survival",countries: Iran,4/23/2020
