,Date,Study,Study Link,Journal,Method,Result,Measure of Evidence,Added on
0,2020-04-29,Clinical Laboratory Parameters Associated with Severe or Critical Novel Coronavirus Disease 2019 (COVID-19): A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.24.20078782,medRxiv,Peripheral blood test,"Compared to non-severe COVID-19 cases, severe or critical COVID-19 disease was characterised by higher neutrophil count (MMD: 1.23 [95% CI: 0.58 to 1.88] ×109 cells/L), and lower lymphocyte and CD4 counts with MMD (95% CI) of -0.39 (-0.47, -0.31) ×109 cells/L and -204.9 (-302.6, -107.1) cells/μl, respectively. Other notable results were observed for C-reactive protein (MMD: 36.97 [95% CI: 27.58, 46.35] mg/L), interleukin-6 (MMD: 17.37 [95% CI: 4.74, 30.00] pg/ml,), Troponin I (MMD: 0.01 [0.00, 0.02] ng/ml), and D-dimer (MMD: 0.65 [0.45, 0.85] mg/ml)",patients: 45,5/11/2020
1,2020-04-24,Detection of Nucleocapsid Antibody to SARS-CoV-2 is More Sensitive than Antibody to Spike Protein in COVID-19 Patients,https://doi.org/10.1101/2020.04.20.20071423,medRxiv,Luciferase immunoprecipitation assay systems (LIPS),Antibody to the nucleocapsid protein of SARS-CoV-2 is more sensitive than spike protein antibody for detecting early infection,patients: 81,5/11/2020
2,2020-04-18,Phenotype of SARS-CoV-2-specific T-cells in COVID-19 patients with acute respiratory distress syndrome,https://doi.org/10.1101/2020.04.11.20062349,medRxiv,Epitope Analysis/ELISA,spike protein (S) proved a potent T-cell antigen and specific T-cells predominantly produced Th1 cytokines,patients: 16,4/26/20
3,2020-04-06,Case fatality rate in COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.04.01.20050476,medRxiv,-,Increasing age and elevated LDH consistently predicted severe / critical disease and case fatality. Hypertension; fever and dyspnea at presentation; and elevated CRP predicted increased severity,patients: 2090,4/26/20
4,2020-03-27,Analysis of adaptive immune cell populations and phenotypes in the patients infected by SARS-CoV-2,https://doi.org/10.1101/2020.03.23.20040675,medRxiv,Peripheral blood test,SARS-CoV-2 induced an increased percentage of T follicular helpher (Tfh)- and germinal center B-like (GCB-like) cells in the blood,patients: 56,4/26/20
5,2020-03-26,"COVID-19 infection induces readily detectable morphological and inflammation-related phenotypic changes in peripheral blood monocytes, the severity of which correlate with patient outcome",https://doi.org/10.1101/2020.03.24.20042655,medRxiv,Flow cytometry,"Patients with COVID-19 have larger than normal monocytes. these FSC-high monocytes are CD11b+, CD14+, CD16+, CD68+, CD80+, CD163+, CD206+ and secrete IL-6, IL-10 and TNF-alpha, consistent with an  inflammatory phenotype",patients: 28,4/26/20
6,2020-03-09,Genomic diversity of SARS-CoV-2 in Coronavirus Disease 2019 patients,https://doi.org/10.1093/cid/ciaa203,Clinical Infectious Diseases,Sequencing of bronchoalveolar lavage fluid,The median number of intrahost variants was 1–4 in SARS–CoV-2–infected patients,patients: 53,4/8/20
7,2020-02-20,Candidate targets for immune responses to 2019-Novel Coronavirus (nCoV): sequence homology- and bioinformatic-based predictions,https://doi.org/10.1101/2020.02.12.946087,bioRxiv,Immune Epitope Database and Analysis Resource (IEDB),Parallel bionformatic predictions identified a priori potential B and T cell epitopes for 2019-nCoV. The independent identification of the same regions using two approaches reflects the high probability that these regions are targets for immune recognition of 2019-nCoV,-,4/8/20
8,2020-02-14,Current Trends in Diagnostics of Viral Infections of Unknown Etiology Viruses,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7077230/,MDPI Viruses,High throughput sequencing (HTS),"HTS could not only augment diagnostics and help to choose the correct therapy, but also facilitateresearch in epidemiology, genetics and virolog",-,4/7/20
9,2020-02-12,"The immune vulnerability landscape of the 2019 Novel Coronavirus, SARS-CoV-2",https://doi.org/10.1101/2020.02.08.939553,bioRxiv,Genomic Analysis,"SARS-CoV-2, along with related coronaviruses, used mutations to evade attack from the human immune system",-,4/7/20
