,Date,Study,Study Link,Journal,Study Type,Method,Excerpt,Measure of Evidence,Added on
0,2020-05-22,Transmission in Latent Period Causes A Large Number of Infected People in the United States,https://doi.org/10.1101/2020.05.07.20094086,medRxiv,Simulation,Bayesian Inference,"The results show that the basic reproduction number in the early period of propagation is 4.06. As of April 13, 2020, only 45% (95% CI: 35% - 73%) of symptom onset cases in the United States were documented. The incubation period of COVID19 is 10.69 days (95% CI: 10.02 – 11.74).",countries: United States,2020-05-28
1,2020-05-14,Tracking R of COVID-19: A New Real-Time Estimation Using the Kalman Filter,https://doi.org/10.1101/2020.04.19.20071886,medRxiv,Simulation,SIR model + Kalman Estimator,"Under our baseline assumption that the serial interval for COVID-19 is seven days, we estimate the basic reproduction number (R0) to be 2.67 (95% CI: 1.96–3.44)",countries: 124 countries across the world,2020-05-15
2,2020-05-06,Inferring change points in the COVID-19 spreading reveals the effectiveness of interventions,https://www.medrxiv.org/content/10.1101/2020.04.02.20050922v3,medRxiv,Simulation,Bayesian model,"We presented a Bayesian approach for a timely monitoring of the effect of governmental interventions on the spread of an epidemic outbreak. At the example of the COVID-19 outbreak in Germany, we applied this approach to infer the central epidemiological parameters and three change points in the spreading rate from the number of reported cases. We showed that change points in the spreading rate affect the confirmed case numbers with a delay of about two weeks (median reporting delay of D = 11.4 days plus a median change-point duration of 3 days). Thereby, we were able to relate the inferred change points to the three major governmental interventions in Germany: We found a clear reduction of the spreading rate related to each governmental intervention (Fig. 3), (i) the cancellation of large events with more than 1000 participants (around March 9), (ii) the closing of schools, childcare centers and the majority of stores (in effect March 16), and (iii) the contact ban and closing of all non-essential stores (in effect March 23).",countries: Germany,2020-05-23
3,2020-04-29,Real-time time-series modelling for prediction of COVID-19 spread and intervention assessment,https://doi.org/10.1101/2020.04.24.20078923,medRxiv,Simulation,ARIMA,"We developed a time-series based statistical model to dynamically predict the future trend of COVD-19 spread. It is built upon the strength of SIR/SIER models in considering the speed of progression and coupled with the capacity of time-series models in 1) considering higher orders of derivatives of the number of cases in previous time intervals, 2) accounting for the impact of residuals of the previous time intervals, and 3) incorporating intervention effect as external variables.",countries: Australia,2020-05-23
4,2020-04-29,COVID-19 in Iran: A Deeper Look Into The Future,https://doi.org/10.1101/2020.04.24.20078477,medRxiv,Simulation,deep learning (DL) and machine learning (ML) models,"M-LSTM was the most accurate model found in this study. Using this model we aimed to identify 1) the intensity of the epidemicpeak, 2) the timing of the peak, and 3) the total number of cases expected over the duration of the epidemic of COVID-19 in Iran.",countries: Iran,2020-05-23
5,2020-04-27,Estimating the impact of mobility patterns on COVID-19 infection rates in 11 European countries,https://doi.org/10.1101/2020.04.13.20063644,medRxiv,Simulation,Bayesian Approach,"According to the model, most countries appear to have their epidemic under control (April 19) (Table 1). The most successful country in terms of reducing R0 is Italy (R0≈0⋅19) and the least is Sweden (R0≈2⋅02)","countries: Austria, Belgium, Denmark, France,  Germany, Italy, Norway, Spain, Sweden, Switzerland, United Kingdom",2020-05-15
6,2020-04-26,"Estimation of the basic reproduction number, average incubation time, asymptomatic infection rate, and case fatality rate for COVID-19: Meta-analysis and sensitivity analysis",https://doi.org/10.1101/2020.04.28.20083758,medRxiv,Meta-analysis and Simulation,Sensitivity Study,"Our studies estimate the basic reproduction number to be 3.15 with the 95% interval (2.41, 3.90), the average incubation time to be 5.08 days with the 95% confidence interval (4.77, 5.39) (in day), the asymptomatic infection rate to be 46% with the 95% confidence interval (18.48%, 73.60%), and the case fatality rate to be 2.72% with 95% confidence interval (1.29%, 4.16%) where asymptomatic infections are accounted for.",worldwide,2020-05-28
7,2020-04-24,The impact of changes in diagnostic testing practices on estimates of COVID-19 transmission in the United States,https://doi.org/10.1101/2020.04.20.20073338,medRxiv,Simulation,Poisson Regression,"Based on the number of confirmed COVID-19 cases across the US through March 24, 2020 (before any observable impact of social distancing measures, Fig. 3), and assuming a fixed serial interval of 6.5 days, we estimate that R0 for the US is 3.45 (95% confidence interval (CI): 3.44- 3.46, accounting only for uncertainty in the growth rate). Estimates of R0 for all 50 states and the District of Columbia vary from 1.92 (95% CI: 1.61-2.27, South Dakota) to 5.17 (95% CI: 4.75- 5.65, Missouri) (Table S2).",countries: United States,2020-05-02
8,2020-04-23,COVID-19 Asymptomatic Infection Estimation,https://doi.org/10.1101/2020.04.19.20068072,medRxiv,Simulation,Fine-grained simulator,"MLSim showed better forecast accuracy than the SEIR and LSTM-based prediction models. The MLSim learned from the data of China’s mainland reveals that there could have been 150,408 (142,178-157,417) asymptomatic and had self-healed patients, which is 65% (64% – 65%) of the inferred total infections including undetected ones. The numbers of asymptomatic but infectious patients on April 15, 2020, were inferred as, Italy: 41,387 (29,037 – 57,151), Germany: 21,118 (11,484 – 41,646), USA: 354,657 (277,641 – 495,128), France: 40,379 (10,807 – 186,878), and UK: 144,424 (127,215 – 171,930).","countries: China, Italy, Germany, France and UK",2020-05-23
9,2020-04-22,The Effect of Population Size for Pathogen Transmission on Prediction of COVID-19 Pandemic Spread,https://arxiv.org/abs/2004.10527,arXiv,Simulation,SEIR,"We estimate the mean of the basic reproductive number of China and the rest of the globe except China (GEC) to be 2.46 (95% CI: 2.41-2.51) and 3.64 (95% CI: (3.55-3.72), respectively. We infer that the number of latent infections of GEC is about 7.47*10^5 (95% CI: 7.32*10^5-7.62*10^5) as of April 2, 2020. We predict that the peak of infections in hospitals of GEC may reach 3.00*10^6 on the present trajectory, i.e., if the population size for pathogen transmission and epidemic parameters remains unchanged. If the control intensity is strengthened, e.g., 50% reduction or 75% reduction of the population size for pathogen transmission, the peak would decline to 1.84*10^6, 1.27*10^6, respectively.",countries: China,2020-05-23
