,Date,Study,Study Link,Journal,Study Type,Material,Method,Viral Titer,Persistence,Conclusion,Measure of Evidence,Added on
0,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Steel,Medline search and review of original data on coronavirus persistence,10^3,5 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
1,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Aluminum,Medline search and review of original data on coronavirus persistence,5X10^3,2-8 hrs,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
2,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Glass,Medline search and review of original data on coronavirus persistence,10^3,5 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
3,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Plastic,Medline search and review of original data on coronavirus persistence,10^7,2-6 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
4,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,PVC,Medline search and review of original data on coronavirus persistence,10^3,5 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
5,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Silicon rubber,Medline search and review of original data on coronavirus persistence,10^3,5 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
6,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Surgical Glove(latex),Medline search and review of original data on coronavirus persistence,5X10^3,≤ 8 h,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
7,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Ceramic,Medline search and review of original data on coronavirus persistence,10^3,5 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
8,2020-02-06,Persistence of coronaviruses on inanimate surfaces and their inactivation with biocidal agents,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30046-3/fulltext,The Journal of Hospital Infection,Systematic Review,Teflon,Medline search and review of original data on coronavirus persistence,10^3,5 days,Human coronaviruses can remain infectious on inanimate surfaces for up to 9 days. Surface disinfection with 0.1% sodium hypochlorite or 62–71% ethanol significantly reduces coronavirus infectivity on surfaces within 1 min exposure time. We expect a similar effect against the SARS-CoV-2.,studies: 1,05-10-2020
9,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,Teflon,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,5 days,"An inoculum of 10^3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1).",-,05-16-2020
10,2015-11-10,Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4659470/,mBio,Experimental Study,PVC,"Approximately 10^3 PFU HuCoV-229E (20 l infected-cell lysate) was applied to 1-cm2 coupons of test surface materials and incubated at ambient conditions (21°C; relative humidity, 30% to 40%).",10^3,5 days,"An inoculum of 10^3 plaque forming units (PFU) persisted on polyfluorotetraethylene (Teflon; PTFE), polyvinyl chloride (PVC), ceramic tiles, glass, and stainless steel for at least 5 days (and 3 days for silicon rubber) at 21°C and a relative humidity of 30% to 40% (Fig. 1).",-,05-16-2020
