,Date,Study,Study Link,Journal,Study Type,Material,Method,Days After Onset/Admission (+) Covid-19 Presence (maximum unless otherwise stated),Property 2,Conclusion,Measure of Evidence,Added on
0,2020-04-03,The presence of SARS‐CoV‐2 RNA in the feces of COVID‐19 patients,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25825,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,median: 20,-,"A total of 28 (66.67%) patients tested positive for SARS‐CoV‐2 RNA in stool specimens, and this was not associated with the presence. Among them, 18 (64.29%) patients remained positive for viral RNA in the feces after the pharyngeal swabs turned negative. The duration of viral shedding from the feces after negative conversion in pharyngeal swabs was 7 (6‐10) days, regardless of COVID‐19 severity.","patients: 28, severity: uncomplicated",5/4/2020
1,2020-04-03,The presence of SARS‐CoV‐2 RNA in the feces of COVID‐19 patients,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25825,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,median: 19,-,"A total of 28 (66.67%) patients tested positive for SARS‐CoV‐2 RNA in stool specimens, and this was not associated with the presence. Among them, 18 (64.29%) patients remained positive for viral RNA in the feces after the pharyngeal swabs turned negative. The duration of viral shedding from the feces after negative conversion in pharyngeal swabs was 7 (6‐10) days, regardless of COVID‐19 severity.",patients: 28; severity: mild,5/4/2020
2,2020-04-03,The presence of SARS‐CoV‐2 RNA in the feces of COVID‐19 patients,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25825,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,median: 25,-,"A total of 28 (66.67%) patients tested positive for SARS‐CoV‐2 RNA in stool specimens, and this was not associated with the presence. Among them, 18 (64.29%) patients remained positive for viral RNA in the feces after the pharyngeal swabs turned negative. The duration of viral shedding from the feces after negative conversion in pharyngeal swabs was 7 (6‐10) days, regardless of COVID‐19 severity.",patients: 28; severity: severe,5/4/2020
3,2020-04-15,"Digestive Symptoms in COVID-19 Patients With Mild Disease Severity: Clinical Presentation, Stool Viral RNA Testing, and Outcomes.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7172493/,American Journal of Gastroenterology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,-,-,"Twelve (54.5%) of these patients tested positive for viral RNA in stool. ; We found that compared with patients with only respiratory symptoms, those with digestive symptoms tend to have a longer course between symptom onset and viral clearance and are more likely to test positive for COVID-19 viral RNA in the stool, suggesting (but not confirming) direct infectivity of the virus on the intestinal tract.",patients: 22,5/19/2020
4,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://www.medrxiv.org/content/10.1101/2020.03.28.20043059v1,medRxiv,Prospective Cohort,Fecal matter,RT-PCR confirmed,median: 22,-,"These results indicated that beside respiratory samples, intestinal samples (e.g. feces) should be recommended for diagnosis of COVID-19,especially for monitoring the relapse of discharged patients. ; The viral titers of nasal-throat swabs peaked at six to nine d.a.o. and at 14-18 d.a.o for fecal samples, and the highest virus titers at the peak was significantly higher for feces.",patients: 23,4/8/2020
5,2020-03-28,Prolonged Viral Shedding in Feces of Pediatric Patients with Coronavirus Disease 2019,https://www.sciencedirect.com/science/article/pii/S1684118220300815?via%3Dihub,"Journal of Microbiology, Immunology and Infection",Prospective Cohort,Fecal matter,RT-PCR confirmed,range: 4-33,-,Persistent shedding of SARS-CoV-2 in stools of infected children raises the possibility that the virus might be transmitted through contaminated fomites. ; Detection of SARS-CoV-2 in fecal specimens should be considered as one of the routine diagnostic tests to guide decision-making on hospital discharge and release of isolation,patients: 3,4/8/2020
6,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://www.medrxiv.org/content/10.1101/2020.03.24.20042382v1,medRxiv,Prospective Cohort,Fecal matter,RT-PCR confirmed,range: 7-26; median: 18,-,"Nasopharyngeal, sputum and stools rather than blood and urine, were the major shedding routes for SARS-CoV-2, and meanwhile sputum had a prolonged viral shedding.",patients: 62,4/8/2020
7,2020-03-19,Do children need a longer time to shed SARS-CoV-2 in stool than adults?,https://www.sciencedirect.com/science/article/pii/S1684118220300700?via%3Dihub,"Journal of Microbiology, Immunology and Infection",Retrospective Analysis,Fecal matter,RT-PCR confirmed,mean: 30,-,"Compared with respiratory specimens, stool specimens may remain positive longer, similar to the findings of the present study.;Children show a longer shedding time than adults.",patients: 27,4/8/2020
8,2020-03-19,Prolonged Presence of SARS-CoV-2 Viral RNA in faecal samples,https://www.thelancet.com/pdfs/journals/langas/PIIS2468-1253(20)30083-2.pdf,The Lancet Gastroenterology & Hepatology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,mean: 27.9,-,"Respiratory samples remained positive for SARS-CoV-2 RNA for a mean of 16·7 days (SD 6·7) and faecal samples remained positive for a mean of 27·9 days (10·7) after first symptom onset (ie, for a mean of 11·2 days [9·2] longer than for respiratory samples).",patients: 41,5/4/2020
9,2020-03-15,Evaluation of SARS-CoV-2 RNA shedding in clinical specimens and clinical characteristics of 10 patients with COVID-19 in Macau,https://www.ijbs.com/v16p1698.htm,International Journal of Biological Sciences,Prospective Cohort,Fecal matter,RT-PCR confirmed,mean: 19.3,-,"There were positive SARS-CoV-2 RNA signals in all patients' NPS and stool specimens but negative in all urine specimens. Based on our data on SARS-CoV-2 RNA shedding in stool and the possibility of a lag in viral detection in NPS specimens, the assessment of both fecal and respiratory specimen is recommended to enhance diagnostic sensitivity, and also to aid discharge decision before the role of viral RNA shedding in stool is clarified. ; fecal samples were subsequently collected and virus RNA were detectable in 90% of our patients from their first sample by qRT-PCR.",patients: 10,4/8/2020
10,2020-03-08,Clinical presentation and virological assessment of hospitalized cases of coronavirus disease 2019 in a travel-associated transmission cluster,https://www.medrxiv.org/content/10.1101/2020.03.05.20030502v1.full.pdf,medRxiv,Retrospective Analysis,Fecal matter,RT-PCR confirmed,max: 21,-,"Stool and sputum samples remained RNA-positive over even longer periods, in spite of full resolution of symptoms.",patients: 9,4/8/2020
11,2020-03-03,Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,https://jamanetwork.com/journals/jama/fullarticle/2762688,JAMA,Descriptive Case Series,Fecal matter,RT-PCR confirmed,-,-,"In 4 of 8 patients, virus was detected in stool, regardless of diarrhea, over 1 to 7 days.",patients: 8,4/8/2020
12,2020-03-03,Fecal specimen diagnosis 2019 novel coronavirus–infected pneumonia,https://onlinelibrary.wiley.com/doi/full/10.1002/jmv.25742?casa_token=fdg-1TFOv3MAAAAA%3AcoTagSHY3Sc-XG7wGggI_fN1_rHHeo92J8BTm9HK8dnaHZDTH0_wnNmPiK5KtA2YZ8o_V01AG45j95qQ,Journal of Medical Virology,Retrospective Analysis,Fecal matter,RT-PCR confirmed,-,-,"In our cases, we found that patients with a positive stool test did not experience gastrointestinal symptoms and had nothing to do with the severity of the lung infection.",patients: 14,4/9/2020
13,2020-02-20,Evidence for gastrointestinal infection of SARS-CoV-2,https://www.gastrojournal.org/article/S0016-5085(20)30282-1/pdf?referrer=https%3A%2F%2Fwww.google.com%2Furl%3Fq%3Dhttps%3A%2F%2Fdoi.org%2F10.1053%2Fj.gastro.2020.02.055%26sa%3DD%26ust%3D1590437616175000%26usg%3DAFQjCNFMGFhlbV4Bff4vYobGbrgqVeC--g,Gastroenterology,Prospective Cohort,Fecal matter,RT-PCR confirmed,mean: 26,-,"Of all the 73 SARS-CoV-2-infected patients, 39 (53.42%) including 25 males and 14 females tested positive for SARS-CoV-2 RNA in stool ; 17 (23.29%) patients remained positive in stool after showing negative in respiratory samples.",patients: 73,4/9/2020
