,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 0.82,0.66,1.04,0.1,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
1,2020-05-27,Symptoms and Critical Illness Among Obstetric Patients With Coronavirus Disease 2019 (COVID-19) Infection.,https://www.ncbi.nlm.nih.gov/pubmed/32459701/,Obstetrics and gynecology,OR 3.26,1.18,9.01,0.02,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,158,"pregnant women with COVID-19 infection were identified at two hospitals in New York City from March 13 to April 19, 2020: NewYork-Presbyterian/Columbia University Irving Medical Center, a tertiary care referral center performing approximately 4,600 deliveries per year, and NewYork-Presbyterian/Allen Hospital, a community hospital performing approximately 2,300 deliveries per year.",,N,N
2,2020-05-15,"Clinical Characteristics, Risk Factors and Outcomes Among the First Consecutive 1,096 Patients Diagnosed with COVID-19: The Kuwait Experience",http://medrxiv.org/cgi/content/short/2020.05.09.20096495v1?rss=1,MedRxiv,,,,,,,,AOR=4.92,1.03,23.44,<0.05,Significant,Adjusted,Extracted,Asthma; Smoker; Elevated Procalcitonin,Retrospective observational study,1096,Jaber Al-Ahmad Al-Sabah hospital in Kuwait between February 24th 2020 and April 20th 2020,,Y,N
3,2020-05-14,Asthma prolongs intubation in COVID-19,https://www.sciencedirect.com/science/article/pii/S2213219820304761?v=s5,J Allergy Clin Immunol Pract,OR 1.04,0.34,2.62,,Not Significant,Not Adjusted,Extracted,OR=2.56,0.57,11.5,0.22,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,935,"Ages 18-49 at Rush University Medical Center from March 12, 2020 to April 3, 2020",,Y,N
4,2020-05-14,Asthma prolongs intubation in COVID-19,https://www.sciencedirect.com/science/article/pii/S2213219820304761?v=s5,J Allergy Clin Immunol Pract,OR 1.14,0.4,3.25,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,935,"Ages 50-64 at Rush University Medical Center from March 12, 2020 to April 3, 2022",,Y,N
5,2020-05-14,Asthma prolongs intubation in COVID-19,https://www.sciencedirect.com/science/article/pii/S2213219820304761?v=s5,J Allergy Clin Immunol Pract,OR 1.24,1.0,1.5,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,935,"Ages 65+ at Rush University Medical Center from March 12, 2020 to April 3, 2021",,Y,N
6,2020-05-14,Early estimation of the risk factors for hospitalisation and mortality by COVID-19 in Mexico,http://medrxiv.org/cgi/content/short/2020.05.11.20098145v1?rss=1,MedRxiv,,,,,,,,OR 0.61,1.29,0.53,,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,9946,"Epidemiological Surveillance System for Viral Respiratory Diseases of the Mexican Ministry of Health (Secretaría de Salud, SS) on April 23rd, 2020",,N,N
7,2020-05-07,OpenSAFELY: factors associated with COVID-19-related hospital death in the linked electronic health records of 17 million adult NHS patients.,http://medrxiv.org/cgi/content/short/2020.05.06.20092999v1?rss=1,MedRxiv,,,,,,,,AHR 1.25,1.08,1.44,,Significant,Adjusted,Extracted,"age, gender, obesity, smoking status, diabetes, cancer, hematological malignancy, asthma, chronic respiratory disease, heart disease, hypertension, chronic liver disease, stroke or dementia, other neurological disease, reduced kidney function, organ transplant, spleen disease, rheumatoid arthritis/lupus/psoriasis, immunosuppression",Retrospective observational study,"17,425,445","TPP general practice in England from February 1 to April 25, 2020.",,N,N
8,2020-04-29,Supplementing the National Early Warning Score (NEWS2) for anticipating early deterioration among patients with COVID-19 infection,https://doi.org/10.1101/2020.04.24.20078006,medrxiv,OR 1.21,0.69,2.1,0.51,,,,,,,,,,,,Retrospective observational study,708,UK NHS hospital from 1st March to 5th April 2020,,Y,N
9,2020-04-23,Clinical Characteristics of Hospitalized Covid-19 Patients in New York City,http://medrxiv.org/cgi/content/short/2020.04.19.20062117v1?rss=1,MedRxiv,,,,,,,,OR 0.93,0.56,1.53,0.77,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2199,"Mount Sinai Hospital located in East Harlem, Manhattan; Mount Sinai Morningside located in Morningside Heights, Manhattan; Mount Sinai West located in Midtown and the West Side, Manhattan; Mount Sinai Brooklyn located in Midwood, Brooklyn; and Mount Sinai Queens located in Astoria, Queens from Feb 27, 2020 to Apr 2, 2020",,N,Y
10,2020-04-17,Clinical Characteristics of Covid-19 in New York City,doi.org/10.1056/nejmc2010419,New England Journal of Medicine,OR 1.09,0.58,2.04,0.8,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,393,"2 hospitals in Manhattan from March 3 - March 27, 2020",,Y,N
