,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-30,Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.jcv.2020.104371,Journal of Virology,,,,,,,,ES=0.44,0.27,0.62,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"21 Studies, 47,344 patients","Medline, Sino Med, EMBASE, and Cochrane Library databases from Jan 1, 2020 to Mar 10, 2020",,N,N
1,2020-06-30,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",https://doi.org/10.1016/j.jcv.2020.104364,Journal of Clinical Virology,OR 1.47,0.57,3.81,0.43,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,221,"Zhongnan Hospital of Wuhan University, Wuhan, China from January 2, 2020 to February 10, 2020",,N,N
2,2020-06-04,Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.,https://doi.org/10.1111/dom.14105,"Diabetes, obesity & metabolism",OR=2.58,1.93,3.45,,Significant,Not Adjusted,Extracted,OR=2.95,1.93,4.53,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,2116,"PubMed, Embase, medRxiv,  Cochrane library,  and CNKI databases for articles published up  to 03/20/2020",,N,N
3,2020-06-04,Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.,https://doi.org/10.1111/dom.14105,"Diabetes, obesity & metabolism",AOR=5.29,1.07,26.02,<0.05,Significant,Adjusted,Extracted,,,,,,,,Age; Gender,Retrospective observational study,66,"Huai'an Fourth people's hospital from Jan 23, 2020 to Mar 9, 2020",,N,N
4,2020-06-04,Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.,https://doi.org/10.1111/dom.14105,"Diabetes, obesity & metabolism",OR=4.67,1.19,18.26,<0.05,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,66,"Huai'an Fourth people's hospital from Jan 23, 2020 to Mar 9, 2020",,N,N
5,2020-06-03,Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19,https://doi.org/10.2217/bmm-2020-0254,Biomarkers in medicine,OR 1.62,0.74,3.54,0.23,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,134,Central Hospital of Wuhan from 1 January to 20 February 2020,,Y,N
6,2020-06-01,COVID-19 with Different Severities: A Multicenter Study of Clinical Features,https://www.ncbi.nlm.nih.gov/pubmed/32275452/,Am J Respir Crit Care Med,OR 0.79,0.32,1.94,0.61,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,476,"Jinyintan Hospital in Wuhan, Shanghai Public Health Clinical Center in Shanghai, and Tongling People’s Hospital in Anhui Province, China from January 1, 2020, to February 15, 2020.",,Y,N
7,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 1.13,1.0,1.27,0.05,Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
8,2020-05-31,Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19,https://www.sciencedirect.com/science/article/pii/S120197122030415X?v=s5,Int J Infect Dis,,,,,,,,HR=1.1,0.6,1.9,0.88,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,204,"Renmin  Hospital  of  Wuhan University  from  January 31 to February  20, 2020",,N,N
9,2020-05-29,A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.,https://doi.org/10.1016/j.jinf.2020.05.064,J Infect,HR=1.42,1.04,1.95,<0.05,Significant,Not Adjusted,Extracted,HR=1.24,0.95,1.6,0.11,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,1157,"King’s College Hospital and Princess Royal University Hospital from March 1, 2020 and April 17, 2020",,Y,N
