,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-01,COVID-19 with Different Severities: A Multicenter Study of Clinical Features,https://www.ncbi.nlm.nih.gov/pubmed/32275452/,Am J Respir Crit Care Med,OR 3.25,1.87,5.65,0,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,476,"Jinyintan Hospital in Wuhan, Shanghai Public Health Clinical Center in Shanghai, and Tongling People’s Hospital in Anhui Province, China from January 1, 2020, to February 15, 2020.",,Y,N
1,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 1.09,0.97,1.22,0.16,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
2,2020-06-01,Epidemiological characteristics of coronavirus disease 2019 (COVID-19) patients in IRAN: A single center study,https://doi.org/10.1016/j.jcv.2020.104378,J Clin Virol,,,,,,,,OR=1.05,1.04,1.06,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,2964,"Baqiyatallah hospital in Tehran from 19 February 2020, to 15 April 2020",,N,N
3,2020-05-29,A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.,https://doi.org/10.1016/j.jinf.2020.05.064,J Infect,HR=1.41,1.01,1.96,<0.05,Significant,Not Adjusted,Extracted,HR=1.59,1.23,2.06,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,1157,"King’s College Hospital and Princess Royal University Hospital from March 1, 2020 and April 17, 2020",,Y,N
4,2020-05-29,The Association Between Biomarkers and Clinical Outcomes in Novel Coronavirus (COVID-19) Pneumonia in a U.S. Cohort,http://medrxiv.org/cgi/content/short/2020.05.27.20115105v1?rss=1,MedRxiv,OR: 2.6,1.4,4.6,,Significant,Not Adjusted,Extracted,OR: 1.4,1.0,2.2,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,299,"299 patients with confirmed COVID-19 positive results were admitted to the hospitalist service at GWUH between March 12th and May 9th, 2020",,Y,N
5,2020-05-29,Anakinra for severe forms of COVID-19: a cohort study,https://doi.org/10.1016/s2665-9913(20)30164-8,Lancet Rheumatol,AHR=1.34,0.69,2.62,0.38,Not Significant,Adjusted,Extracted,,,,,,,,Anakinra group; Sex; Symptom duration; BMI;Number of comorbidities; Hydroxychloroquine; Azithromycin,Prospective observational study,96,"A prospective cohort from Groupe Hospitalier Paris Saint-Joseph (Paris, France) and a historical control cohort retrospectively selected from the Groupe Hospitalier Paris Saint-Joseph COVID cohort, which began on March 18, 2020.",,Y,N
6,2020-05-29,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study",https://www.sciencedirect.com/science/article/pii/S1470204520303107,Lancet Oncol,,,,,,,,AOR=3.86,1.57,9.5,<0.05,Significant,Adjusted,Extracted,Sex; Receiving chemotherapy; Time since cancer diagnosis; Cancer type,Retrospective observational study,205,"Cancer  Center  of  Wuhan  Union  Hospital,  West  Branch  of  Wuhan  Union  Hospital,   Jin   Yin-tan   Hospital,   Wuhan   Red   Cross   Hospital,  the  Central  Hospital  of  Wuhan,  Huanggang  Central Hospital, the First People’s Hospital Affiliated to Yangtze   University,   Xianning   Central   Hospital,   and   Suizhou  Central  Hospital from Jan 13, 2020 to Marcg 18, 2020",,N,N
7,2020-05-29,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study",https://www.sciencedirect.com/science/article/pii/S1470204520303107,Lancet Oncol,,,,,,,,OR=3.86,1.8,8.25,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,205,"Cancer  Center  of  Wuhan  Union  Hospital,  West  Branch  of  Wuhan  Union  Hospital,   Jin   Yin-tan   Hospital,   Wuhan   Red   Cross   Hospital,  the  Central  Hospital  of  Wuhan,  Huanggang  Central Hospital, the First People’s Hospital Affiliated to Yangtze   University,   Xianning   Central   Hospital,   and   Suizhou  Central  Hospital from Jan 13, 2020 to Marcg 18, 2020",,N,N
8,2020-05-28,Obesity and COVID-19: an Italian snapshot,https://www.ncbi.nlm.nih.gov/pubmed/32463545/,Obesity,,,,,,,,OR: 3.49,0.28,43.98,0.33,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,92,"92 patients stayed at least one day in the COVID-19 medical ward from March 23 to April 11, 2020",,N,N
9,2020-05-26,COVID-19: Impact of Obesity and Diabetes in Disease Severity,http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1,MedRxiv,AOR=2.23,1.18,4.22,<0.05,Significant,Adjusted,Extracted,,,,,,,,Age; Gender; Diabetes; Hypertension,Retrospective observational study,1158,Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.,,Y,N
