,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-16,Modeling the impact of mass influenza vaccination and public health interventions on COVID-19 epidemics with limited detection capability,https://www.sciencedirect.com/science/article/pii/S0025556420300638?v=s5,Elsevier,Modeling,contact rate,Y,"If 𝑟𝑐 increases by 5 times, the cumulative number of confirmed cases will decrease by 93.6%",Countries: China; Timeline: January 23rd to March 29th 2020,5/27/20
1,2020-05-15,"A model for COVID-19 with isolation, quarantine and testing as control measures",https://arxiv.org/pdf/2005.07661v1.pdf,ArXiv,Modeling,isolation (social distancing),Y,"The mild lockdown of A2 reduces more than half of the infections w.r.t. the no action situation A1, while the strict lockdowns A3 and A4 induce a reduction of the order of 10−2 in total recovered, deaths and positive tests. In this particular scenario, people that are not in isolation have nearly 6 times more chance to be infected.",Timeline: February 15th - May 6th,5/27/20
2,2020-05-11,Social Distancing is Effective at Mitigating COVID-19 Transmission in the United States,http://medrxiv.org/cgi/content/short/2020.05.07.20092353v1?rss=1,MedRxiv,Other,"social distancing (number of individual trips made in each county, each day)",Y,"Our analysis reveals that social distancing is strongly correlated with decreased COVID-19 case growth rates for the 25 most affected counties in the United States, with a lag period consistent with the incubation time of SARS-CoV-2. We also demonstrate evidence that social distancing was already under way in many U.S. counties before county and state-level policies were implemented. This study strongly supports social distancing as an effective way to mitigate COVID-19 transmission in the United States.","Countries: United States; Timeline: January 1 through April 20, 2020",5/31/20
3,2020-05-09,Impacts of social and economic factors on the transmission of coronavirus disease 2019 (COVID-19) in China,https://doi.org/10.1007/s00148-020-00778-2,J Popul Econ,Modeling,social distancing in local communities,Y,"After controlling for time-invariant city fixed effects and time effects that are common to all cities, on average, one new infection leads to 1.142 more cases in the next week, but 0.824 fewer cases 1 week later. The negative effect can be attributed to the fact that both local authorities and residents would have taken more protective measures in response to a higher perceived risk of contracting the virus given more time.","Countries: China; Timeline: January 19 - February 29, 2020",5/31/20
4,2020-05-08,A multi-region discrete time mathematical modeling of the dynamics of Covid-19 virus propagation using optimal control,https://doi.org/10.1007/s12190-020-01354-3,J Appl Math Comput,Modeling,implementation of healthy protocol programs and awareness campaigns,Y,Figure 6 shows that the number of the exposed individuals in region1 decreased from 868.52 (without controls) to 804.34 (with controls) at the end of the implementation of the proposed strategy. Figure 7 demonstrates that the number of the infected individuals in region 1 decreases from 657.01 (without controls) to 608.64 (with controls) at the end of the implementation of the proposed strategy.,-,5/28/20
5,2020-05-05,Evaluation of effects of public health interventions on COVID-19 transmission for Pakistan: A mathematical simulation study,http://medrxiv.org/cgi/content/short/2020.04.30.20086447v1?rss=1,MedRxiv,Modeling,flexible social distancing,Y,"With flexible social distancing (Scenario 4), the estimated total number of cumulative case fatalities is higher estimated at 3,995.","Countries: Pakistan; Timeline: beginning on April 5th, 2020 run for one calendar year",5/28/20
6,2020-05-04,A stochastic epidemic model of COVID-19 disease,https://arxiv.org/pdf/2005.02859v2.pdf,ArXiv,Modeling,influence of number of contacts,Y,"We consider the dependence on the number of contacts on the evolution of the disease when N = 10, 5, 4 and 3. Let us point out that when N = 5 in one of the 30 simulations the epidemic did not go forward when N = 4 it happened in two cases. On the other hand, when N = 3 and with our initial conditions, only in 1 of the 30 simulations the disease went on.",Closed population of 10000 inhabitants; Timeline: 180 days,5/28/20
7,2020-04-30,COVID-19 Control Strategies and Intervention Effects in Resource Limited Settings: A Modeling Study,http://medrxiv.org/cgi/content/short/2020.04.26.20079673v1?rss=1,MedRxiv,Modeling,"physical distancing defined as avoiding large gatherings, no handshake, minimizing physical proximity)",Y,Year-long physical distancing measures will reduce peak demand to 36% (IQR 23%-46%) and annual morality to 67% (IQR 48%-77%) of base scenario.,Countries: Nepal; City: Kathmandu; Timeline: beginning on March 24,5/28/20
8,2020-04-29,Investigating duration and intensity of Covid-19 social-distancing strategies,http://medrxiv.org/cgi/content/short/2020.04.24.20078022v1?rss=1,MedRxiv,Modeling,contact reduction policies,Y,"Social contact reduction and associated reduction in R push new 160 infections further into the future. Hence, the more intense the social distancing measures in terms of contact reduction, the longer the duration needs to be to have an 162 added value; i.e. a relatively lower fatality rate. In other words, the harder you break, the longer it takes. For instance, 40% contact reduction needs to be applied for additional 600 days to 165 outperform a 30% contact reduction in scenario 2 (see Fig. 6). The lower the basic reproduction in the scenarios, the larger the time lag associated with an intensification of social distancing (see Fig. 6, scenarios 1, 2, 4, 5 and 6).",-,5/31/20
9,2020-04-28,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://doi.org/10.1063/5.0009454,Chaos,Modeling,large social distance,Y,"The light blue curves, related to large social distance (θ=0.8), are the most efficient scenarios to induce an accentuated reduction of the growth and a fast convergence to the maximal number of confirmed cases.","Countries: Italy, France; Timeline: beginning on March 28th",5/28/20
