,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-13,Modeling and forecasting of the COVID-19 pandemic in India,https://arxiv.org/pdf/2005.07071v1.pdf,ArXiv,Modeling,nation-wide lockdown,Y,"Figure 6 predict that on 17 May 2020, the cumulative number of COVID-19 infected population in India without Phase-3 lockdown is 70948 but after strictly enforcing nation-wide Phase-3 lockdown in India the cumulative number of infected population reduced and it will be 64838",Countries: India and seventeen states of India; Timeline: first date of coronavirus infection to April 30th 2020,05/27/2020
1,2020-05-13,COVID-19 pandemic control: balancing detection policy and lockdown intervention under ICU sustainability,https://arxiv.org/pdf/2005.06526v1.pdf,ArXiv,Modeling,optimal lockdown strategy,Y,"With our parameters, the contact rate over the population is reduced by 80% over a couple of days, in order to stop immediately the exponential growth of infected and infectious individuals. Hereby, the size of the epidemic pic is highly reduced and, after less than one month, only 2% of the population is contaminated at the pic of the epidemic (instead of 34% in the no-intervention benchmark case).",-,05/27/2020
2,2020-05-09,Impacts of social and economic factors on the transmission of coronavirus disease 2019 (COVID-19) in China,https://doi.org/10.1007/s00148-020-00778-2,J Popul Econ,Modeling,between-city travel,Y,"A back of the envelope calculation indicates that one new case in Wuhan leads to 0.064 (0.050) more cases in the destination city per 10,000 travelers from Wuhan within 1 (2) week between January 19 and February 1 (February 2 and February 29)Footnote15. Note that while the effect is statistically significant, it should be interpreted in context. It was estimated that 15,000,000 people would travel out of Wuhan during the Lunar New Year holidayFootnote16. If all had gone to one city, this would have directly generated about 171 cases within 2 weeks.","Countries: China; Timeline: January 19 - February 29, 2020",05/31/2020
3,2020-05-08,A multi-region discrete time mathematical modeling of the dynamics of Covid-19 virus propagation using optimal control,https://doi.org/10.1007/s12190-020-01354-3,J Appl Math Comput,Modeling,prevent movement of individuals from region 1 to another region,Y,Figure 8 shows that the number of the exposed individuals in region 1 decreases from 868.52 (without controls) to 624.03 (with controls) at the end of the implementation of the proposed strategy. Figure 9 demonstrates that the number of the infected humans in region 1 decreases from 657.01 (without controls) to 472.32 (with controls) at the end of the implementation of the proposed strategy.,-,05/28/2020
4,2020-05-07,Coast-to-Coast Spread of SARS-CoV-2 during the Early Epidemic in the United States,https://www.sciencedirect.com/science/article/pii/S0092867420304840,Cell,Other,federal travel restrictions,Y,"Using previous assumptions around travel restrictions (Chinazzi et al., 2020), we also modeled two scenarios where federal travel restrictions reduced passenger volume by 40% and by 90% from the restricted countries (Figure 2E). Because of the overall low prevalence of COVID-19 in China, we did not find any significant effects of travel restrictions from China that were enacted on February 1 (Data S3). Also, we did not find significant changes to the importation risk following travel restrictions from Iran on March 1, likely because of the relatively small number of passengers arriving from that country (Data S3). Although we did find a dramatic decrease in international importation risk following the restrictions on travel from Europe (March 13), this decrease occurred after our estimates of domestic travel importation risk had already surpassed that of international importation (Figure 2E). The dramatic rises in domestic and international importation risk preceded the state-wide COVID-19 outbreak in Connecticut (Figure 2E), and the recent increase in risk of domestic importation may give rise to new outbreaks in the region.","Countries: United States; State: Connecticut; Timeline: March 6-14th, 2020",05/31/2020
5,2020-05-05,Evaluation of effects of public health interventions on COVID-19 transmission for Pakistan: A mathematical simulation study,http://medrxiv.org/cgi/content/short/2020.04.30.20086447v1?rss=1,MedRxiv,Modeling,strict social distancing analogous to a government lockdown scenario,Y,"The strict social distancing strategy (Scenario 3) showed the fewest total number of cumulative case fatalities estimated at 1,588.","Countries: Pakistan; Timeline: beginning on April 5th, 2020 run for one calendar year",05/28/2020
6,2020-04-30,COVID-19 Control Strategies and Intervention Effects in Resource Limited Settings: A Modeling Study,http://medrxiv.org/cgi/content/short/2020.04.26.20079673v1?rss=1,MedRxiv,Modeling,lockdown defined as total shutdown of movement,Y,"A month-long lockdown that is currently in place in Nepal will delay peak demand for hospital beds by 36 days, as compared to a base scenario of no interventions (peak demand at 108 days (IQR 97-119); a 2 month long lockdown will delay it by 74 days, without any difference in annual mortality, or healthcare demand volume.",Countries: Nepal; City: Kathmandu; Timeline: beginning on March 24,05/28/2020
7,2020-04-29,Detection and isolation of asymptomatic individuals can make the difference in COVID-19 epidemic management,https://doi.org/10.1101/2020.04.23.20077255,medRxiv,Modeling Study,reduction in traveling between communities within the Mendoza province,Y,outbreak reached the West with a 17-day lag (Ro=4) and a 42-day delay (Ro=2) when traveling between communities was reduced to a tenth,Countries: Argentina cities: Mendoza; Timeline: none,05/11/2020
8,2020-04-24,COVID-19 pandemic scenario in India compared to China and rest of the world: a data driven and model analysis medrxiv,https://www.medrxiv.org/content/10.1101/2020.04.20.20072744v1.full.pdf,MedRxiv,Modeling Study,21-day lockdown,Y,"112,042 case estimates in absence of lockdown; 24,431 COVID-19 infected cases with lockdown is (78% lower)","Countries India; Timeline: April 9, 2020.",05/11/2020
9,2020-04-22,"Lockdown, one, two, none, or smart. Modeling containing covid-19 infection. A conceptual model",https://www.sciencedirect.com/science/article/pii/S0048969720324347?v=s5,Sci Total Environ,Modeling,evaluation of lockdown scenarios,Y,"The recommendation, according to the simulations, is to carry out an extended initial lockdown and then gradually return to activities, controlling social contacts so that at the end of this period should only be a maximum of 40% of the contacts they had before the quarantine.",Timeline: 150 days,05/28/2020
