,Date,Study,Study Link,Journal,Study Type,Factors,Infuential,Excerpt,Measure of Evidence,Added on
0,4/30/2020,Susceptibility of tree shrew to SARS-CoV-2 infection,https://doi.org/10.1101/2020.04.30.029736,bioRxiv,Transmission Study,tree shrews,N,"In conclusion, tree shrew is not as susceptible to SARS-CoV-2 infection as the reported animal models of COVID-19, though limited replication of SARS-CoV-2 and mild histopathology was detected and observed in some tissues.",detection: qPCR,6/11/2020
1,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,cats,Y,2 cases of transmission to domestic cats,-,4/22/2020
2,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,dogs,Y,2 cases of SARS-CoV-2 transmission to dogs,-,4/22/2020
3,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,tiger,Y,4 cases of transmission to tigers,-,4/22/2020
4,4/21/2020,Is COVID-19 the first pandemic that evolves into a panzootic?,https://pubmed.ncbi.nlm.nih.gov/32315124/,Veterinaria Italiana,Expert Review,lion,Y,3 cases of transmission to lions,-,4/22/2020
5,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,cats,Y,"There is evidence from seeder models that cats and ferrets can become infected with SARSCoV-2 and this is detectable using PCR. There is evidence that cats in Wuhan, China have antibodies to SARS-CoV-2 which appears to have developed after the outbreak. ","detection: PCR, antibodies",4/22/2020
6,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,dogs,Y,"Dogs may become infected and produce antibodies, but there is no evidence that they develop clinical disease if exposed, or that they shed virus which may pose a risk to humans.","detection: PCR, antibodies",4/22/2020
7,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,ferrets,Y,There is evidence from seeder models that cats and ferrets can become infected with SARSCoV-2 and this is detectable using PCR.,"detection: PCR, antibodies",4/22/2020
8,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,pigs,N,"None of the contact animals in the study by Shi, Wen [19] 3 pigs, 3 chickens, 3 ducks) were positive for SARS-CoV-2 on PCR or antibody tests","detection: PCR, antibodies",4/22/2020
9,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,chickens,N,"None of the contact animals in the study by Shi, Wen [19] 3 pigs, 3 chickens, 3 ducks) were positive for SARS-CoV-2 on PCR or antibody tests","detection: PCR, antibodies",4/22/2020
10,4/19/2020,"A rapid review of evidence of infection of pets and livestock with human-associated coronavirus diseases, SARS, MERS, and COVID-19, and evidence of the fomite potential of pets and livestock",http://www.syreaf.org/wp-content/uploads/2020/04/Rapid-Review-of-pets-as-fomites_3.pdf,SYREAF,Systematic Review,ducks,N,"None of the contact animals in the study by Shi, Wen [19] 3 pigs, 3 chickens, 3 ducks) were positive for SARS-CoV-2 on PCR or antibody tests","detection: PCR, antibodies",4/22/2020
11,4/17/2020,"Serological survey of SARS‐CoV‐2 for experimental, domestic, companion and wild animals excludes intermediate hosts of 35 different species of animals",https://doi.org/10.1111/tbed.13577,Transboundry and Emerging Diseases,Serological Survey,pigs,N,No SARS-CoV-2 specific antibodies were detected.,"detection: ELISA, qPCR",4/22/2020
