,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Days,Range (Days),Excerpt,Added on
0,2020-04-18,"Significantly longer Covid-19 incubation times for the elderly, from a case study of 136 patients throughout China",https://doi.org/10.1101/2020.04.14.20065896,medRxiv,Case series,136,range: 15-64,-,"median: 7.0; 95% CI: 6.1, 8.1",-,-,5/3/2020
1,2020-04-18,"Significantly longer Covid-19 incubation times for the elderly, from a case study of 136 patients throughout China",https://doi.org/10.1101/2020.04.14.20065896,medRxiv,Case series,136,range: 65-86,-,"median: 10.9; 95% CI: 9.2, 12.9",-,-,5/3/2020
2,2020-04-14,The clinical and immunological features of pediatric COVID-19 patients in China,https://doi.org/10.1016/j.gendis.2020.03.008,Genes and Diseases,Retrospective observational,12,median: 14.5; range: 0.67-17,-,mean: 8 days,range: 1-13,-,6/14/2020
3,2020-04-10,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: A prospective contact-tracing study,https://doi.org/10.1016/j.jinf.2020.03.006,Journal of Infection,Prospective contact tracing,8,median: 22; range: 16-23,-,median: 2,range: 1-4,-,5/24/2020
4,2020-03-30,Children are unlikely to have been the primary source of household SARS-CoV-2 infections,https://doi.org/10.1101/2020.03.26.20044826,medRxiv,Meta-analysis,40 articles,mean: 5.35,-,mean: 7.74,-,-,4/7/2020
5,2020-03-26,Viral Kinetics and Antibody responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Retrospective cohort,67,range: 10-18,-,mean: 12.0,-,-,4/7/2020
6,2020-03-26,Viral Kinetics and Antibody responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Retrospective cohort,67,range: 19-45,-,mean: 6.3,-,-,4/7/2020
7,2020-03-26,Viral Kinetics and Antibody responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Retrospective cohort,67,range: 46-65,-,mean: 6.8,-,-,4/7/2020
8,2020-03-26,Viral Kinetics and Antibody responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Retrospective cohort,67,range: 66-77,-,mean: 5.6,-,-,4/7/2020
9,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Case series,2015,"median: 46 (F), median: 45 (M)",-,median: 7,range: 0-33,-,4/6/2020
10,2020-03-18,Is a 14-day quarantine period optimal for effectively controlling coronavirus disease 2019 (COVID-19)?,https://doi.org/10.1101/2020.03.15.20036533,medRxiv,Case series,2015,median: 9,-,median: 9,range: 0-33,-,4/6/2020
11,2020-03-16,Clinical Characteristics of 34 Children with Coronavirus Disease-2019 in the West of China: a Multiple-center Case Series,https://doi.org/10.1101/2020.03.12.20034686,medRxiv,Case series,34,median: 33 months; IQR 10-94.25 months; range: 1-144 months,-,median: 10.5,IQR: 7.75-25.25,-,4/6/2020
12,2020-03-12,Epidemiological and clinical characteristics of COVID-19 in adolescents and young adults,https://doi.org/10.1101/2020.03.10.20032136,medRxiv,Case series,46,range: 10-35,-,"mean: 6.6; 95% CI: 4.4, 9.6",-,-,4/25/2020
13,2020-02-29,Estimate the incubation period of coronavirus 2019 (COVID-19),https://doi.org/10.1101/2020.02.24.20027474,medRxiv,Case series,59,max: 40,-,median: 4,IQR: 3-5,-,4/6/2020
14,2020-02-29,Estimate the incubation period of coronavirus 2019 (COVID-19),https://doi.org/10.1101/2020.02.24.20027474,medRxiv,Case series,59,min: 40,-,median: 6,IQR: 2-10,-,4/6/2020
