,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Days,Range (Days),Excerpt,Added on
0,2020-06-04,"Nosocomial outbreak of COVID-19 pneumonia in Wuhan, China",https://doi.org/10.1183/13993003.00544-2020,European Respiratory journal,Case series,35,median: 37; range: 25-88,Throat,median: 18.5,range: 12–25,-,6/14/2020
1,2020-06-03,"Lopinavir/ritonavir and interferon combination therapy may help shorten the duration of viral shedding in patients with COVID-19: a retrospective study in two designated hospitals in Anhui, China.",https://www.ncbi.nlm.nih.gov/pubmed/32492211/,Journal of medical virology,Cross-sectional,181,mean: 44.3±13.2; range: 18-82,Respiratory tract,median: 18.0 days,IQR: 15-24; range: 5-39,-,6/14/2020
2,2020-05-22,Prolonged SARS‐CoV‐2 RNA shedding: Not a rare phenomenon,https://doi.org/10.1002/jmv.25952,Journal of Medical Virology,Retrospective cohort,"36, all patients who shed viral RNA >30 days",median: 57.5; range: 52-65,Respiratory tract,median: 53.5,IQR: 47.75-60.5; max: 83 days,we studied the clinical characteristics of 36 confirmed COVID‐19 patients who continued to shed viral RNA for longer than 30 days,6/14/2020
3,2020-05-21,Asymptomatic infection and atypical manifestations of COVID-19: comparison of viral shedding duration,https://doi.org/10.1016/j.jinf.2020.05.035,Journal of Infection,Retrospective cohort,199,median: 38±13.1,"unspecified, RT-PCR confirmed",median: 24.5±4.8,-,-,6/14/2020
4,2020-05-21,Asymptomatic infection and atypical manifestations of COVID-19: comparison of viral shedding duration,https://doi.org/10.1016/j.jinf.2020.05.035,Journal of Infection,Retrospective cohort,53,-,"unspecified, RT-PCR confirmed",median: 22.6 ±4.0,-,"Duration of viral shedding was longer in symptomatic patients than in asymptomatic patients (25.2 days versus 22.6 days, p < 0.01)",6/14/2020
5,2020-05-21,Asymptomatic infection and atypical manifestations of COVID-19: comparison of viral shedding duration,https://doi.org/10.1016/j.jinf.2020.05.035,Journal of Infection,Retrospective cohort,146,-,"unspecified, RT-PCR confirmed",median: 25.2 ±4.9,-,"Duration of viral shedding was longer in symptomatic patients than in asymptomatic patients (25.2 days versus 22.6 days, p < 0.01)",6/14/2020
6,2020-05-12,"Factors associated with duration of viral shedding in adults with COVID-19 outside of Wuhan, China: A retrospective cohort study",https://doi.org/10.1016/j.ijid.2020.05.045,International Journal of Infectious Diseases,Retrospective cohort,147,median: 42; IQR: 35-54,Respiratory tract,median: 17,IQR: 12-21,-,5/30/2020
7,2020-05-12,Risk Factors for Viral RNA Shedding in COVID-19 Patients,https://doi.org/10.1183/13993003.01190-2020,European Respiratory journal,Retrospective cohort,410,-,Throat,median: 19,IQR: 16-23; range: 3-44,"Patients with CHD comorbidity, decreased albumin levels and delayed antiviral therapy experienced delays in clearance of SARS-CoV-2 RNA",6/14/2020
8,2020-05-05,Symptomatic Infection is Associated with Prolonged Duration of Viral Shedding in Mild Coronavirus Disease 2019: A Retrospective Study of 110 Children in Wuhan,https://doi.org/10.1097/INF.0000000000002729,The Pediatric Infectious Disease Journal,Retrospective cohort,110 children,median: 6,-,median: 15,IQR: 11-20,"Prolonged duration of viral shedding in children with COVID-19 was associated with symptomatic infection, fever, pneumonia and lymphocyte count =2.0 × 109/L",5/30/2020
9,2020-04-30,"Clinical course and outcome of 107 patients infected with the novel coronavirus, SARS-CoV-2, discharged from two hospitals in Wuhan, China",https://doi.org/10.1186/s13054-020-02895-6,Crit Care,Case series,"88, all survivors",median: 44.5; IQR: 35–58.8,Throat,median: 13,IQR: 10-22.3,,6/14/2020
10,2020-04-22,Persistent viral shedding of SARS-CoV-2 in faeces - a rapid review,https://doi.org/10.1101/2020.04.17.20069526,medRxiv,Systematic literature review,824; 26 articles,range: 3 months - 87 years,Fecal matter,-,range: 1-47,-,4/25/2020
11,2020-04-17,The duration of viral shedding of discharged patients with severe COVID-19,https://doi.org/10.1093/cid/ciaa451,Clinical Infectious Diseases,Retrospective cohort,"31, severe cases",cohort: <65,Throat swab,median: 31,IQR: 23.5-40.5,-,5/30/2020
12,2020-04-17,The duration of viral shedding of discharged patients with severe COVID-19,https://doi.org/10.1093/cid/ciaa451,Clinical Infectious Diseases,Retrospective cohort,"10, severe cases",cohort: >=65,Throat swab,median: 31,IQR: 24.3-38,-,5/30/2020
13,2020-04-15,"Digestive Symptoms in COVID-19 Patients With Mild Disease Severity: Clinical Presentation, Stool Viral RNA Testing, and Outcomes",https://doi.org/10.14309/ajg.0000000000000664,Am J Gastroenterol,Retrospective cohort,"206, Wuhan residents",mean: 62.5; range: 27-92,Throat,mean: 38.1,range: 15-62,"The total time between symptom onset and viral clearance was significantly longer in the Digestive-Only and Digestive + Respiratory groups compared with the Respiratory-Only group (40.9 vs 42.0 vs 33.5 days, P < 0.001).",6/14/2020
14,2020-04-14,"Associations of clinical characteristics and antiviral drugs with viral RNA clearance in patients with COVID-19 in Guangzhou, China: a retrospective cohort study",https://doi.org/10.1101/2020.04.09.20058941,medRxiv,Retrospective cohort,280,median: 48; IQR: 33-62,Respiratory tract,median: 12,IQR: 8-16; viral RNA cleared in 89% of patients within 21 days,-,4/25/2020
15,2020-04-09,Factors associated with prolonged viral RNA shedding in patients with coronavirus disease 2019 (COVID-19),https://doi.org/10.1093/cid/ciaa351,Clinical Infectious Diseases,Retrospective cohort,113 symptomatic patients,median: 52; IQR 43-63,Respiratory tract,median: 17,IQR: 13-22,"prolonged SARS-CoV-2 RNA shedding was associated with male sex (P = .009), old age (P = .033), concomitant hypertension (P = .009), delayed admission to hospital after illness onset (P = .001), severe illness at admission (P = .049), invasive mechanical ventilation (P = .006), and corticosteroid treatment (P = .025).",5/24/2020
16,2020-04-06,"Virologic and clinical characteristics for prognosis of severe COVID-19: a retrospective observational study in Wuhan, China",https://doi.org/10.1101/2020.04.03.20051763,medRxiv,Case series,50,median: 64; range: 37-87,Respiratory tract,median: 31 (PCR confirmed; all severe COVID-19 pts),IQR: 27-34; max 57 days,-,5/3/2020
17,2020-04-06,"Virologic and clinical characteristics for prognosis of severe COVID-19: a retrospective observational study in Wuhan, China",https://doi.org/10.1101/2020.04.03.20051763,medRxiv,Case series,50,median: 64; range: 37-87,GI tract,median: 31 (PCR confirmed; all severe COVID-19 pts),IQR: 27-34; max 57 days,-,5/3/2020
18,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://doi.org/10.1101/2020.03.28.20043059,MedRxiv,Retrospective cohort,23,median: 48; IQR: 40-62,Respiratory tract,median: 10,IQR: 8-17,,6/14/2020
19,2020-03-30,Virus shedding patterns in nasopharyngeal and fecal specimens of COVID-19 patients,https://doi.org/10.1101/2020.03.28.20043059,MedRxiv,Retrospective cohort,23,median: 48; IQR: 40-62,Fecal matter,median: 22,IQR: 15.5-23.5,,6/14/2020
20,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective cohort,67,median: 49; range: 10-77,Nasopharyngeal,median: 12,range: 3-38,-,4/6/2020
21,2020-03-26,Viral Kinetics and Antibody Responses in Patients with COVID-19,https://doi.org/10.1101/2020.03.24.20042382,medRxiv,Prospective cohort,67,median: 49; range: 10-77,Sputum,median: 19,range: 5-37,-,4/6/2020
