,Date,Study,Study Link,Journal,Study Type,Sample Size,Age,Sample Obtained,Asymptomatic,Characteristic Related to Question 2,Excerpt,Added On
0,2020-05-27,"Comparison of Clinical Characteristics of Patients with Asymptomatic vs Symptomatic Coronavirus Disease 2019 in Wuhan, China",https://doi.org/10.1001/jamanetworkopen.2020.10182,Journal of the American Medical Association,Prospective Observational Study,78,median: 37; IQR: 26-45 (Asymptomatic); median: 56; IQR: 34-63 (Symptomatic),Nasopharyngeal,42%,-,"A total of 33 patients (42.3%) were asymptomatic, while 45 patients (57.7%) were symptomatic.",5/28/2020
1,2020-05-25,Management of mild COVID-19: Policy implications of initial experience in India,http://medrxiv.org/cgi/content/short/2020.05.20.20107664v1?rss=1,MedRxiv,Retrospective observational,231,mean: 39.8; range: 18-73; SD: 13.6,Nasal; Throat,46.70%,-,"Symptoms specific to COVID-19 were present in 123 (53·2%) of the patients; whereas, 108 (46·7%) patients remained asymptomatic. The median duration of symptoms was 3 days (IQR 2-5·5).",6/13/2020
2,2020-05-24,The role of asymptomatic SARS-CoV-2 infections: rapid living systematic review and meta-analysis,https://doi.org/10.1101/2020.04.25.20079103,MedRxiv,Systemic review and meta-analysis,28 studies,-,-,15.00%,-,The overall estimate of the proportion of people who become infected with SARS-CoV-2 and remain asymptomatic throughout infection was 15% (95% CI 10 to 22%) with a prediction interval of 3 to 55% in 28 studies that addressed this review question.,5/25/2020
3,2020-05-23,"What do we know about SARS-CoV-2 transmission? A systematic review and meta-analysis of the secondary attack rate, serial interval, and asymptomatic infection",http://medrxiv.org/cgi/content/short/2020.05.21.20108746v1?rss=1,MedRxiv,Systematic review,66 studies,-,-,25.90%,-,"We estimated that 25.9% of COVID-19 cases were asymptomatic at time of diagnosis. Of these, more than two-thirds went on to develop symptoms over the course of their disease with a ‘true asymptomatic’ proportion of 8.4%. Our study does not support claims that the majority of SARS-CoV-2 infections are asymptomatic",6/13/2020
4,2020-05-21,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",https://doi.org/10.1056/NEJMoa2005412,The New England Journal of Medicine,Retrospective observational study,101,median: 83; range: 51-100,Nasopharyngeal swab; Oropharyngeal swab,7.00%,-,"Among facility residents, 118 were tested; 101 results were positive and 17 negative. Most affected persons had respiratory illness consistent with Covid-19; however, chart review of facility residents found that in 7 cases no symptoms had been documented.",5/26/2020
5,2020-05-16,The first 100 days of SARS-CoV-2 control in Vietnam,https://doi.org/10.1101/2020.05.12.20099242,MedRxiv,Retrospective observational study,208,median: 31; IQR: 23-45,-,43.00%,-,"Forty-three percent (89/208) of discharged cases never developed symptoms, and this was not significantly associated with age, gender, nationality, or origin of infection (imported or domesticallyacquired).",5/27/2020
6,2020-05-16,CT imaging features of 34 patients infected with COVID-19,https://doi.org/10.1016/j.clinimag.2020.05.016,Clinical Imaging,Retrospective observational study,34,median: 49.21; range: 7-88,-,11.76%,-,"The 4 patients with no symptoms were identified during screening for close contacts, and also following up for two weeks.",5/27/2020
7,2020-05-16,Identifying baseline clinical features of people with COVID-19,https://doi.org/10.1101/2020.05.13.20100271,MedRxiv,Systemic review and meta-analysis,56 studies,range: 28 to 70,-,2-79%,-,Proportion of asymptomatic cases were from 2 to 79%.,5/27/2020
8,2020-05-15,Estimating the extent of true asymptomatic COVID-19 and its potential for community transmission: systematic review and meta-analysis,https://doi.org/10.1101/2020.05.10.20097543,MedRxiv,Systemic review and meta-analysis,"9,242",-,-,16%,-,"Combining data from all five studies, we estimate that 16% of cases were asymptomatic (95% CI: 12% - 20%; fixed effects).",5/26/2020
9,2020-05-15,A systematic review of asymptomatic infections with COVID-19,https://doi.org/10.1016/j.jmii.2020.05.001,"Journal of Microbiology, Immunology and Infection",Systemic review and meta-analysis,56997,-,-,2.20%,-,"First of all, due to insufficient awareness of asymptomatic infections and limited detection capabilities in the early stage of the outbreak, China's 1.6% may be underestimated. On the contrary, another study investigated 565 Japanese citizens evacuated from Wuhan at the end of January and found that the incidence of asymptomatic infections was 30.8%. Another example is the “Diamond Princess” cruise ship, which was isolated in Japanese waters in early February due to COVID-19 infection found that the incidence of asymptomatic infections was 51.7%.",5/26/2020
10,2020-05-14,Study on Transmission Dynamic of 15 Clusters of Coronavirus Disease 2019 Cases in Ningbo,https://doi.org/10.3760/cma.j.cn112338-20200330-00466,Chinese Journal of Epidemiology,Retrospective observational study,52,mean: 56.27; SD: 19.59,-,9.60%,-,"In the 15 clusters of COVID-19 cases, a total of 52 confirmed cases, 5 cases of nucleic acid- positive asymptomatic cases.",5/27/2020
11,2020-05-11,"Screening of SARS-CoV-2 among homeless people, asylum seekers and other people living in precarious conditions in Marseille, France, March April 2020.",http://medrxiv.org/cgi/content/short/2020.05.05.20091934v1?rss=1,MedRxiv,Cross-sectional study,49,median; 35.0: range; 0-91,Nasal,51%,,"Of the 49 SARS-CoV-2-positive participants, 51.0% were asymptomatic",6/13/2020
12,2020-05-10,Viral dynamics in asymptomatic patients with COVID-19,https://doi.org/10.1016/j.ijid.2020.05.030,International Journal of Infectious Disease,Retrospective observational study,31,-,Nasopharyngeal swab,29.00%,-,"Among these 31 patients, 22 presented symptoms after admission and were defined as asymptomatic patients in the incubation period (APIs); the other nine patients remained asymptomatic during hospitalization and were defined as asymptomatic patients (APs).",5/27/2020
13,2020-05-09,Contagiousness and Secondary Attack Rate of 2019 Novel Coronavirus Based on Cluster Epidemics of COVID-19 in Guangzhou,https://doi.org/10.3760/cma.j.cn112338-20200310-00305,Chinese Journal of Epidemiology,Retrospective observational study,349,-,-,2.87%,-,"As of 18 February, 2020, a total of 349 cases of 2019-nCoV infection, including 339 confirmed cases (97.13%) and 10 asymptomatic cases (2.87%) were reported in Guangzhou.",5/27/2020
14,2020-05-07,"Characteristics of asymptomatic patients with SARS-CoV-2 infection in Jinan, China",https://doi.org/10.1016/j.micinf.2020.04.011,Microbes and Infection,Retrospective observational study,47,median: 23; range: 1-60,Pharyngeal swab,23%,-,"A total of 47 patients with confirmed COVID-19 were recruited. Among them, 11 patients were categorized as asymptomatic cases.",5/27/2020
15,2020-05-05,High proportion of asymptomatic and presymptomatic COVID-19 infections in travelers and returning residents to Brunei,https://doi.org/10.1093/jtm/taaa066,Journal of Travel Medicine,Retrospective observational study,138,-,Nasopharyngeal swab,12.00%,-,"As of April 24, Brunei has reported 138 cases. We found 16 (12%) cases were asymptomatic and 42 (30%) were presymptomatic.",5/26/2020
16,2020-05-04,Viral kinetics of SARS-CoV-2 in asymptomatic carriers and presymptomatic patients,https://doi.org/10.1016/j.ijid.2020.04.083,International Journal of Infectious Diseases,Retrospective observational study,71,median: 31 years; IQR: 17.8–55.8 years,-,14.00%,-,"From a total of 71 laboratory-confirmed cases, three presymptomatic patients and 10 patients with entirely asymptomatic infections were identified.",5/27/2020
17,2020-05-01,Clinical characteristics of asymptomatic and symptomatic patients with mild COVID-19,https://doi.org/10.1016/j.cmi.2020.04.040,Clinical Microbiology and Infection,Retrospective observational study,213,median: 26; IQR: 22-47,Nasopharyngeal swab,19.20%,-,"Of the 213 individuals with COVID-19, 41 (19.2%) were asymptomatic until admission.",5/27/2020
18,2020-04-28,Epidemiological and clinical features of asymptomatic patients with SARS‐CoV‐2 infection,https://doi.org/10.1002/jmv.25944,Journal of Medical Virology,Retrospective observational study,342,median: 27,Throat; Anal,4.40%,-,Fifteen (4.4%) of 342 SARS‐CoV‐2 infected patients did not develop anysymptom during the course of the disease.,5/23/2020
19,2020-04-27,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study",https://www.thelancet.com/pdfs/journals/laninf/PIIS1473-3099(20)30287-5.pdf,The Lancet,Retrospective observational study,391,mean: 45,Nasal swab,6%,-,"330 (84%) of 391 cases had fever at the time of initial assessment, while 25 (6%) of 391 had no signs or symptoms.",5/26/2020
20,2020-04-24,Presymptomatic SARS-CoV-2 Infections and Transmission in a Skilled Nursing Facility,https://doi.org/10.1056/NEJMoa2008457,New England Journal of Medicine,Retrospective observational study,48,mean: 78.6; SD: 9.5,Nasopharyngeal; Oropharyngeal,6.25%,-,"In the 7 days after their positive test, 24 of the 27 asymptomatic residents (89%) had onset of symptoms and were recategorized as presymptomatic",5/26/2020
21,2020-04-24,Early epidemiological and clinical manifestations of COVID-19 in Ja,https://doi.org/10.1101/2020.04.17.20070276,MedRxiv,Retrospective observational study,1192,range: 40-79,-,9.39%,-,The data analysis of total 1192 cases showed that 1080 (90.60%) cases were symptomatic and 112 (9.39%) were asymptomatic as shown in Table 1.,5/27/2020
22,2020-04-23,Cluster of COVID-19 in northern France: A retrospective closed cohort study,https://doi.org/10.1101/2020.04.18.20071134.this,MedRxiv,Retrospective observational study,171,-,-,17.00%,-,The proportion of infected individuals who had no symptoms during the study period was 17.0% (95% CI = 11.2 – 23.4),5/27/2020
23,2020-04-18,"Suppression of COVID-19 outbreak in the municipality of Vo, Italy",https://doi.org/10.1101/2020.04.17.20053157,MedRxiv,Case series,5155,-,Nasopharyngeal swab,43%,-,"Notably, 43.2% (95% CI 32.2-54.7%) of the confirmed SARS-CoV-2 infections detected across the two surveys were asymptomatic.",4/25/2020
