,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 0.86,0.61,1.2,0.37,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
1,2020-05-29,Phenotypic characteristics and prognosis of inpatients with COVID-19 and diabetes: the CORONADO study,https://www.ncbi.nlm.nih.gov/pubmed/32472191/,Diabetologia,OR: 1.23,0.81,1.86,,Not Significant,Not Adjusted,Extracted,OR: 0.70,0.34,1.41,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,1317,The CORONADO study was launched in all French hospitals volunteering to share data on hospitalised COVID-19 patients with diabetes,,Y,N
2,2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,,,,,,,,AOR=1.6,0.8,3.0,,Not Significant,Adjusted,Extracted,Age; Sex,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",,Y,N
3,2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,OR 1.16,0.6,2.23,0.66,Not Significant,Not Adjusted,Calculated,OR=1.7,1.0,3.1,,Significant,Not Adjusted,Extracted,,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",,Y,N
4,2020-05-26,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",http://medrxiv.org/cgi/content/short/2020.05.23.20110965v1?rss=1,MedRxiv,,,,,,,,OR=2.81,1.31,6.01,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"85 articles, 67299 cases","PubMed, ScienceDirect, and SAGE database from January 1, 2020, to May 17, 2020",,N,N
5,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.51,1.21,1.88,<0.05,Significant,Adjusted,Extracted,Age; Sex: Major Comorbidity,Prospective observational study,"20,133","208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
6,2020-05-19,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.13.20100495v1?rss=1,MedRxiv,OR=0.56,0.09,3.35,0.53,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 298 patients,"PubMed from January 1 until April 19, 2020",,Y,N
7,2020-05-14,"Obesity and COVID-19 Severity in a Designated Hospital in Shenzhen, China",https://doi.org/10.2337/dc20-0576,Diabetes care,OR 1.07,0.38,3.04,0.89,,,,,,,,,,,,Retrospective observational study,383,"Third People’s Hospital of Shenzhen, from 11 January 2020 to 16 February 2020 (followed until 26 March 2020)",,N,N
8,2020-05-14,The association of cardiovascular disease and other pre-existing comorbidities with COVID-19 mortality: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.10.20097253v1?rss=1,MedRxiv,,,,,,,,RR 1.57,0.7,3.5,,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,2 studies,"PubMed (MEDLINE), OVID (MEDLINE, HEALTHSTAR), SCOPUS, and medrxiv.org from October 1, 2019 to May 1, 2026",,N,N
9,2020-05-13,Effects of pre-existing morbidities on occurrence of death among COVID-19 disease patients: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.08.20095968v1?rss=1,MedRxiv,,,,,,,,OR=1.44,1.21,1.71,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,36398,"Medline, Web of Science, Scopus, and CINAHL were searched, concluded on May 01, 2020",,N,N
