,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-28,Obesity and COVID-19: an Italian snapshot,https://www.ncbi.nlm.nih.gov/pubmed/32463545/,Obesity,,,,,,,,OR: 15.81,0.9,277.43,0.06,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,92.0,"92 patients stayed at least one day in the COVID-19 medical ward from March 23 to April 11, 2020",,N,N
1,2020-05-27,Frailty and mortality in hospitalized older adults with COVID-19: retrospective observational study,http://medrxiv.org/cgi/content/short/2020.05.26.20113480v1?rss=1,MedRxiv,,,,,,,,OR 1.54,0.55,4.32,0.41,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,81.0,"Imelda general hospital, Belgium",,N,N
2,2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,,,,,,,,AOR=1.9,1.4,2.5,,Significant,Adjusted,Extracted,Age; Sex,Retrospective observational study,9519.0,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",,Y,N
3,2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,,,,,,,,OR=11.9,9.3,15.3,,Significant,Not Adjusted,Extracted,,Retrospective observational study,9519.0,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",,Y,N
4,2020-05-26,Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort,http://medrxiv.org/cgi/content/short/2020.05.23.20099671v1?rss=1,MedRxiv,OR 0.47,0.07,3.06,0.43,Not Significant,Not Adjusted,Extracted,OR 5.16,1.07,24.79,0.04,Significant,Not Adjusted,Extracted,,Retrospective observational study,81.0,Veteran's Administration skilled nursing facility,,Y,N
5,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.40,1.28,1.52,<0.05,Significant,Adjusted,Extracted,Age; Sex: Major Comorbidity,Prospective observational study,20133.0,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
6,2020-05-15,Clinical Presentation of COVID19 in Dementia Patients,https://www.ncbi.nlm.nih.gov/pubmed/32425646/,J Nutr Health Aging,,,,,,,,OR=1.84,1.08,3.13,<0.05,Significant,Adjusted,Extracted,Age; Sex; Dementia,Retrospective observational study,82.0,"Respiratory failure patients in COVID wards in Acute Hospital in Brescia province, Northern Italy.",,N,N
7,2020-05-11,Effect of underlying comorbidities on the infection and severity of COVID-19 in South Korea,http://medrxiv.org/cgi/content/short/2020.05.08.20095174v1?rss=1,MedRxiv,OR 7.03,4.9,10.08,0.0,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,5172.0,"The insurance claims database of the HIRA of South Korea through April 8, 2020",,Y,N
8,2020-05-05,Clinical characteristics of 106 patients with neurological diseases and co-morbid coronavirus disease 2019: a retrospective study,http://medrxiv.org/cgi/content/short/2020.04.29.20085415v1?rss=1,MedRxiv,OR 1.61,0.59,4.44,0.35,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,106.0,"Huoshenshan Hospital from Feb 4, 2020 to Apr 14, 2020",,N,N
9,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.2,0.9,1.8,,Not Significant,Not Adjusted,Extracted,HR 1.8,1.1,2.8,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2653.0,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",,N,N
10,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.8,1.1,2.5,,Significant,Adjusted,Extracted,Age and gender,Retrospective observational study,2362.0,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2022",5/6/2020,N,N
