,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 0.53,0.43,0.64,0,Significant,Not Adjusted,Calculated,,Retrospective observational study,13442.0,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
1,2020-05-22,Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study,https://doi.org/10.1136/bmj.m1966,BMJ,AOR=0.89,0.69,1.2,0.38,Not Significant,Adjusted,Extracted,AHR=1.21,0.98,1.49,0.07,Not Significant,Adjusted,Extracted,Vital signs; Laboratory results,Retrospective observational study,990.0,"NYU Langone Health between March 1, 2020 to April 8, 2020",,Y,N
2,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 0.86,0.69,1.09,,Not Significant,Not Adjusted,Extracted,RR 0.42,0.32,0.56,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490.0,"103 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,N
3,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 0.96,0.76,1.21,,Not Significant,Adjusted,Extracted,RR 1.17,0.91,1.51,,Not Significant,Adjusted,Extracted,"age, sex, race/ethnicity, smoker, hypertension, obesity, diabetes, chronic lung disease, cardiovascular disease, neurologic disease, renal disease, immunosuppression, hematologic disorders, and rheumatologic or autoimmune disease",Retrospective observational study,2490.0,"104 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,N
4,2020-05-20,Extent of prior lung irradiation and mortality in COVID-19 patients with a cancer history,https://doi.org/10.1016/j.adro.2020.04.028,Adv Radiat Oncol,,,,,,,,HR=0.66,0.26,1.66,0.37,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,107.0,"Montefiore Medical Center and Albert Einstein College of Medicine from March 14, 2020 to April 15, 2020",,N,N
5,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,AOR=0.83,0.44,1.55,0.57,Not Significant,Adjusted,Extracted,,,,,,,,Age; Sex; Race and Ethnicity; Hospital; BMI; Respiratory rate; Temperature; Oxygen Saturation; Pulse; Diabetes; Shortness of breath,Retrospective observational study,486.0,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
6,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,OR 0.33,1.52,0.37,,Not Significant,Not Adjusted,Calculated,,Prospective observational study,191.0,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
7,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=1.80,1.63,1.99,,Significant,Adjusted,Extracted,Age; Comorbidity,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2021",,N,N
8,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=2.25,2.04,2.49,,Significant,Adjusted,Extracted,Age,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2020",,N,N
9,2020-05-10,COVID-19 in solid organ transplant recipients: Initial report from the US epicenter,https://www.ncbi.nlm.nih.gov/pubmed/32330343/,Am J Transplant,OR 0.68,0.28,1.69,0.41,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,90.0,"Columbia University Irving Medical Center (CUIMC) and Weill Cornell Medicine (WCM) between March 13, 2020 and April 3, 2020",,Y,N
