,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-30,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",https://doi.org/10.1016/j.jcv.2020.104364,Journal of Clinical Virology,OR 5.40,2.16,13.49,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,221,"Zhongnan Hospital of Wuhan University, Wuhan, China from January 2, 2020 to February 10, 2020",,N,N
1,2020-06-03,Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19,https://doi.org/10.2217/bmm-2020-0254,Biomarkers in medicine,OR 2.39,1.19,4.82,<0.05,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,134,Central Hospital of Wuhan from 1 January to 20 February 2020,,Y,N
2,2020-06-01,COVID-19 with Different Severities: A Multicenter Study of Clinical Features,https://www.ncbi.nlm.nih.gov/pubmed/32275452/,Am J Respir Crit Care Med,OR 3.02,1.45,6.32,0,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,476,"Jinyintan Hospital in Wuhan, Shanghai Public Health Clinical Center in Shanghai, and Tongling People’s Hospital in Anhui Province, China from January 1, 2020, to February 15, 2020.",,Y,N
3,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 1.31,1.16,1.49,0,Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
4,2020-05-31,Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19,https://www.sciencedirect.com/science/article/pii/S120197122030415X?v=s5,Int J Infect Dis,,,,,,,,HR=1.8,1.1,2.9,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,204,"Renmin  Hospital  of  Wuhan University  from  January 31 to February  20, 2020",,N,N
5,2020-05-29,The Association Between Biomarkers and Clinical Outcomes in Novel Coronavirus (COVID-19) Pneumonia in a U.S. Cohort,http://medrxiv.org/cgi/content/short/2020.05.27.20115105v1?rss=1,MedRxiv,OR: 1.9,1.8,3.3,,Significant,Not Adjusted,Extracted,OR: 3.6,2.0,6.3,,Significant,Not Adjusted,Extracted,,Retrospective observational study,299,"299 patients with confirmed COVID-19 positive results were admitted to the hospitalist service at GWUH between March 12th and May 9th, 2020",,Y,N
6,2020-05-29,The Association Between Biomarkers and Clinical Outcomes in Novel Coronavirus (COVID-19) Pneumonia in a U.S. Cohort,http://medrxiv.org/cgi/content/short/2020.05.27.20115105v1?rss=1,MedRxiv,OR: 1.9,1.3,3.0,,Significant,Not Adjusted,Extracted,OR: 4.5,2.5,8.0,,Significant,Not Adjusted,Extracted,,Retrospective observational study,299,"299 patients with confirmed COVID-19 positive results were admitted to the hospitalist service at GWUH between March 12th and May 9th, 2020",,Y,N
7,2020-05-29,"Clinical characteristics, outcomes, and risk factors for mortality in patients with cancer and COVID-19 in Hubei, China: a multicentre, retrospective, cohort study",https://www.sciencedirect.com/science/article/pii/S1470204520303107,Lancet Oncol,,,,,,,,OR 2.00,0.65,6.12,0.22,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,205,"Cancer  Center  of  Wuhan  Union  Hospital,  West  Branch  of  Wuhan  Union  Hospital,   Jin   Yin-tan   Hospital,   Wuhan   Red   Cross   Hospital,  the  Central  Hospital  of  Wuhan,  Huanggang  Central Hospital, the First People’s Hospital Affiliated to Yangtze   University,   Xianning   Central   Hospital,   and   Suizhou  Central  Hospital from Jan 13, 2020 to Marcg 18, 2020",,N,N
8,2020-05-27,Impact of cardiovascular disease and cardiac injury on in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis.,https://doi.org/10.1136/heartjnl-2020-317062,Heart,,,,,,,,OR: 4.85,3.07,7.7,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3118 patients in 10 studies,"PubMed, Embase and Web of Science databases from 1 January 2020 to 14 April 2020",,N,N
9,2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,,,,,,,,AOR=1.2,0.9,1.5,,Not Significant,Adjusted,Extracted,Age; Sex,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",,Y,N
10,2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,OR 0.96,0.71,1.29,0.78,Not Significant,Not Adjusted,Calculated,OR=5.0,4.1,6.1,,Significant,Not Adjusted,Extracted,,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",,Y,N
11,2020-05-26,Psychiatric Predictors of COVID-19 Outcomes in a Skilled Nursing Facility Cohort,http://medrxiv.org/cgi/content/short/2020.05.23.20099671v1?rss=1,MedRxiv,OR 11.58,1.4,95.98,0.02,Significant,Not Adjusted,Extracted,OR 0.72,0.15,3.45,0.68,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,81,Veteran's Administration skilled nursing facility,,Y,N
12,2020-05-26,Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19,http://medrxiv.org/cgi/content/short/2020.05.25.20111757v1?rss=1,MedRxiv,AOR=2.65,1.02,6.98,<0.05,Significant,Adjusted,Extracted,,,,,,,,Age; Sex; Chest tightness; Diabetes; Lung diseases; Platelet; Radiologic abnormality; Positice SARS-CoV-2 by RT-PCR,Retrospective observational study,332,"February 5, 2020, to March 10, 2020 (followed up through March 25, 2020)",,Y,N
13,2020-05-26,Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19,http://medrxiv.org/cgi/content/short/2020.05.25.20111757v1?rss=1,MedRxiv,AOR=3.94,1.8,8.64,<0.05,Significant,Adjusted,Extracted,,,,,,,,Age; Sex; Chest tightness; Diabetes; Lung diseases,Retrospective observational study,332,"February 5, 2020, to March 10, 2020 (followed up through March 25, 2020)",,Y,N
14,2020-05-26,Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19,http://medrxiv.org/cgi/content/short/2020.05.25.20111757v1?rss=1,MedRxiv,AOR=6.43,3.21,12.88,<0.05,Significant,Adjusted,Extracted,,,,,,,,Age; Sex,Retrospective observational study,332,"February 5, 2020, to March 10, 2020 (followed up through March 25, 2020)",,Y,N
15,2020-05-26,Association between Cardiovascular Burden and Requirement of Intensive Care among Patients with Mild COVID-19,http://medrxiv.org/cgi/content/short/2020.05.25.20111757v1?rss=1,MedRxiv,OR=6.55,3.36,12.76,<0.05,Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,332,"February 5, 2020, to March 10, 2020 (followed up through March 25, 2020)",,Y,N
16,2020-05-26,Use of High Flow Nasal Therapy to Treat Moderate to Severe Hypoxemic Respiratory Failure in COVID-20,http://medrxiv.org/cgi/content/short/2020.05.22.20109355v1?rss=1,MedRxiv,OR 1.54,0.6,3.96,0.37,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,104,"consecutive patients admitted to Temple University Hospital in Philadelphia, Pennsylvania, from March 10, 2020, to April 24, 2020, for moderate to severe hypoxemia due to highly suspected or proven COVID-19 infection",,Y,N
17,2020-05-26,ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019,https://doi.org/10.1097/ccm.0000000000004457,Crit Care Med,,,,,,Cardiovascular disease,,OR 2.03,0.92,4.49,0.08,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,217,"ICU of Emory Healthcare acute-care hospitals in Atlanta, Georgia from March 6, 2020, to April 17, 2024",,N,N
18,2020-05-26,"Association of age, sex, comorbidities, and clinical symptoms with the severity and mortality of COVID-19 cases: a meta-analysis with 85 studies and 67299 cases",http://medrxiv.org/cgi/content/short/2020.05.23.20110965v1?rss=1,MedRxiv,,,,,,,,OR=4.67,3.22,6.77,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"85 articles, 67299 cases","PubMed, ScienceDirect, and SAGE database from January 1, 2020, to May 17, 2020",,N,N
19,2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 4.44,2.64,7.47,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",,Y,N
20,2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 2.7,1.52,4.8,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",,N,N
21,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 0.6,0.2,2.1,0.42,Not Significant,Adjusted,Extracted,"age decile, male sex, CAD, CHF, HTN, DM, hyperlipidemia, CKD, history of cancer, smoking (past or present), BMI 30 - 40 kg/m2, BMI  40 kg/m2 and race",Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
22,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.3,1.1,1.6,<0.01,Significant,Adjusted,Extracted,"age decile, male sex, CAD, CHF, HTN, DM, hyperlipidemia, CKD, history of cancer, smoking (past or present), BMI 30 - 40 kg/m2, BMI  40 kg/m2 and race",Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
23,2020-05-22,Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study,https://doi.org/10.1136/bmj.m1966,BMJ,AOR=0.92,0.71,1.2,0.56,Not Significant,Adjusted,Extracted,AHR=1.10,0.9,1.35,0.36,Not Significant,Adjusted,Extracted,Vital signs; Laboratory results,Retrospective observational study,990,"NYU Langone Health between March 1, 2020 to April 8, 2020",,Y,N
24,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 0.98,0.88,1.09,,Not Significant,Adjusted,Extracted,RR 1.28,1.03,1.58,,Significant,Adjusted,Extracted,"age, sex, race/ethnicity, smoker, hypertension, obesity, diabetes, chronic lung disease, cardiovascular disease, neurologic disease, renal disease, immunosuppression, hematologic disorders, and rheumatologic or autoimmune disease",Retrospective observational study,2490,"118 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,N
25,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.17,1.09,1.26,,Significant,Not Adjusted,Extracted,RR 2.85,2.42,3.36,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"117 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,N
26,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.16,1.08,1.24,<0.05,Significant,Adjusted,Extracted,Age; Sex: Major Comorbidity,Prospective observational study,20133,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
27,2020-05-22,Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.,https://doi.org/10.1002/jmv.26050,Journal of medical virology,,,,,,,,OR=3.81,2.11,6.85,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,12 studies enrolling 1842 patients,"PubMed, Google scholar, Web of Science, and China National Knowledge Infrastructure (CNKI) between January 1, 2020 and April 24, 2020 without language restriction",,N,N
28,2020-05-20,COVID-19 in Liver Transplant Recipients: An Initial Experience from the U.S. Epicenter,https://www.sciencedirect.com/science/article/pii/S001650852034703X?v=s5,Gastroenterology,OR 1.33,0.26,6.81,0.73,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,38,"Liver transplant patients at Mount Sinai Hospital from March 18, 2020 to April 13, 2020",,N,N
29,2020-05-20,Type 1 and Type 2 diabetes and COVID-19 related mortality in England: a whole population study,https://www.england.nhs.uk/wp-content/uploads/2020/05/valabhji-COVID-19-and-Diabetes-Paper-1.pdf,NHS England,,,,,,,,AOR 1.32,1.28,1.36,,Significant,Adjusted,Extracted,"age, sex, deprivation, ethnicity, region, heart disease, cerebrovascular disease, heart failure, diabetes",Retrospective observational study,"61,414,470","All individuals registered with a GP practice in England and alive on the 19th February; data extracted on May 11, 2020.",,N,N
30,2020-05-19,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.13.20100495v1?rss=1,MedRxiv,OR=3.44,1.62,7.32,<0.05,Significant,Not Adjusted,Extracted,OR=3.36,1.39,8.1,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3 studies enrolling 298 patients,"PubMed from January 1 until April 19, 2020",,Y,N
31,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,OR 1.59,1.01,2.5,<0.05,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,486,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
32,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,AHR=1.76,1.08,2.86,,Significant,Adjusted,Extracted,Age; Male sex; Symptom duration before hospital presentation; Hypertension; Chronic cardiac disease; COPD or interstitial lung disease; Diabetes; IL-6; D-dimer,Prospective observational study,257,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
33,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,HR=2.21,1.44,3.39,,Significant,Not Adjusted,Extracted,,Prospective observational study,257,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
34,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,,,,,,,,AOR=1.53,0.54,4.34,0.43,Not Significant,Adjusted,Extracted,Sex; Age (quartiles); BMI<25; BMI>35; Heart failure; CAD; CKD or ESRD; COPD; Diabetes; Current/former smoker,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
35,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,,,,,,,,AOR=1.56,0.57,4.3,0.39,Not Significant,Adjusted,Extracted,Sex; Age (quartiles); BMI<25; BMI>35; Heart failure; CAD; CKD or ESRD; COPD,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
36,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,OR=1.25,0.52,3.03,0.62,Not Significant,Not Adjusted,Extracted,OR=2.88,1.31,6.34,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
37,2020-05-15,Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19,https://doi.org/10.1007/s11427-020-1732-2,Sci China Life Sci,,,,,,,,AHR=1.11,0.71,1.71,0.66,Not Significant,Adjusted,Extracted,Hydroxychloroquine treated; Age; Gender; Hypertension; CHD; COPD; Diabetes; Body temperature; SpO2; Oxygen Therapy; Mechanical ventilation,Retrospective observational study,550,"Tongji Hospital from Feb 1, 2020 to Apr 4, 2020",,N,N
38,2020-05-15,Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19,https://doi.org/10.1007/s11427-020-1732-2,Sci China Life Sci,,,,,,,,HR=1.21,0.84,1.76,0.31,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,550,"Tongji Hospital from Feb 1, 2020 to Apr 4, 2020",,N,N
39,2020-05-15,Pharmacological characteristics of patients infected with SARS-Cov-2 admitted to Intensive Care Unit in South of France,https://www.sciencedirect.com/science/article/pii/S0040595720300949?v=s5,Therapies,OR 0.45,0.14,1.53,0.2,Not Significant,Not Adjusted,Calculated,,,,,,,,,Case series,96,"Toulouse University Hospital in France between March 10, 2020 and April 21, 2020",,Y,N
40,2020-05-14,"Obesity and COVID-19 Severity in a Designated Hospital in Shenzhen, China",https://doi.org/10.2337/dc20-0576,Diabetes care,OR 3.50,1.72,7.12,0,,,,,,,,,,,,Retrospective observational study,383,"Third People’s Hospital of Shenzhen, from 11 January 2020 to 16 February 2020 (followed until 26 March 2020)",,N,N
41,2020-05-14,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study.",https://doi.org/10.2337/dc20-0598,Diabetes care,,,,,,,,OR 1.99,8.1,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,153,Renmin Hospital of Wuhan University and Zhongnan Hospital of Wuhan University from 1 January 2020 to 8 March 2023,,N,Y
42,2020-05-14,Clinical Characteristics and Outcomes of Patients With Diabetes and COVID-19 in Association With Glucose-Lowering Medication.,https://doi.org/10.2337/dc20-0660,Diabetes care,OR=3.63,2.17,6.07,,Significant,Not Adjusted,Extracted,OR=8.29,5.02,13.68,,Significant,Not Adjusted,Extracted,,Retrospective observational study,904,Central Hospital of Wuhan from 1 January 2020 to 17 March 2020,,N,Y
43,2020-05-14,"Impact of Cerebrovascular and Cardiovascular Diseases on Mortality and Severity of COVID-19 â€“ Systematic Review, Meta-analysis, and Meta-regression",https://www.ncbi.nlm.nih.gov/pubmed/32410807/,J Stroke Cerebrovasc Dis,RR 2.25,1.51,3.36,<0.01,Significant,Not Adjusted,Extracted,RR 2.25,1.53,3.29,<0.01,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,12 studies enrolling 2357 patients,"PubMed, SCOPUS, EuropePMC, and Cochrane Central Database",,N,N
