,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,,,OR 0.89,0.79,1.0,0.05,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",,N,N
1,2020-05-26,ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019,https://doi.org/10.1097/ccm.0000000000004457,Crit Care Med,,,,,,Race black vs white,,OR 1.60,0.68,3.77,0.28,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,217,"ICU of Emory Healthcare acute-care hospitals in Atlanta, Georgia from March 6, 2020, to April 17, 2021",,N,N
2,2020-05-24,Outcomes from COVID-19 across the range of frailty: excess mortality in fitter older people,http://medrxiv.org/cgi/content/short/2020.05.22.20110486v1?rss=1,MedRxiv,,,,,,,,AHR=1.30,0.7,2.51,0.38,Not Significant,Adjusted,Extracted,Age; Sex; Ethnicity; Index of Multiple Deprivation; Clinical Frailty Scale; COVID-19; COVID-19 x CFS interaction,Retrospective observational study,217,"a central London hospital up to Apr 23, 2020",,N,N
3,2020-05-24,Outcomes from COVID-19 across the range of frailty: excess mortality in fitter older people,http://medrxiv.org/cgi/content/short/2020.05.22.20110486v1?rss=1,MedRxiv,,,,,,,,HR=1.12,0.6,2.1,0.72,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,217,"a central London hospital up to Apr 23, 2020",,N,N
4,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,OR 0.51,0.78,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
5,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,OR 0.87,6.88,0.09,,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
6,2020-05-22,Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study,https://doi.org/10.1136/bmj.m1966,BMJ,AOR=0.57,0.41,0.8,<0.05,Significant,Adjusted,Extracted,AHR=0.71,0.53,0.94,<0.05,Significant,Adjusted,Extracted,Vital signs; Laboratory results,Retrospective observational study,990,"NYU Langone Health between March 1, 2020 to April 8, 2020",,Y,N
7,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.03,0.93,1.13,,Not Significant,Not Adjusted,Extracted,RR 0.75,0.5,0.99,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"99 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,N
8,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.01,0.89,1.15,,Not Significant,Adjusted,Extracted,RR 1.07,0.85,1.35,,Not Significant,Adjusted,Extracted,"age, sex, race/ethnicity, smoker, hypertension, obesity, diabetes, chronic lung disease, cardiovascular disease, neurologic disease, renal disease, immunosuppression, hematologic disorders, and rheumatologic or autoimmune disease",Retrospective observational study,2490,"100 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,N
9,2020-05-20,Type 1 and Type 2 diabetes and COVID-19 related mortality in England: a whole population study,https://www.england.nhs.uk/wp-content/uploads/2020/05/valabhji-COVID-19-and-Diabetes-Paper-1.pdf,NHS England,,,,,,,,AOR 1.73,1.63,1.83,<0.01,Significant,Adjusted,Extracted,"age, sex, deprivation, ethnicity, region, heart disease, cerebrovascular disease, heart failure, diabetes",Retrospective observational study,"61,414,470","All individuals registered with a GP practice in England and alive on the 19th February; data extracted on May 11, 2020.",,N,N
10,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,AOR=0.56,0.3,1.01,0.06,Not Significant,Adjusted,Extracted,,,,,,,,Age; Sex; Race and Ethnicity; Hospital; BMI; Respiratory rate; Temperature; Oxygen Saturation; Pulse; Diabetes; Shortness of breath,Retrospective observational study,486,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
11,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,OR 0.32,1.92,0.59,,Not Significant,Not Adjusted,Calculated,,Prospective observational study,81,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
12,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=2.83,2.65,3.03,,Significant,Adjusted,Extracted,Age; Comorbidity,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2023",,N,N
13,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=3.13,2.94,3.33,,Significant,Adjusted,Extracted,Age,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2022",,N,N
14,2020-05-15,Risk factors for clinical progression in patients with COVID-19: a retrospective study of electronic health record data in the United Kingdom,http://medrxiv.org/cgi/content/short/2020.05.11.20093096v1?rss=1,MedRxiv,AOR=1.02,0.35,2.61,0.98,Not Significant,Adjusted,Extracted,AOR=1.85,0.71,4.65,0.2,Not Significant,Adjusted,Extracted,Age; Ethnicity; Laboratory values; Vital signs,Retrospective observational study,3753,Emergency department of Chelsea & Westminster Hospital NHS Foundation Trust between 1st January 2020 and 23rd April 2020,,N,N
15,2020-05-10,COVID-19 in solid organ transplant recipients: Initial report from the US epicenter,https://www.ncbi.nlm.nih.gov/pubmed/32330343/,Am J Transplant,OR 1.27,0.43,3.73,0.67,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,90,"Columbia University Irving Medical Center (CUIMC) and Weill Cornell Medicine (WCM) between March 13, 2020 and April 3, 2020",,Y,N
16,2020-05-10,COVID-19 in solid organ transplant recipients: Initial report from the US epicenter,https://www.ncbi.nlm.nih.gov/pubmed/32330343/,Am J Transplant,OR 1.27,0.43,3.73,0.68,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,90,"Columbia University Irving Medical Center (CUIMC) and Weill Cornell Medicine (WCM) between March 13, 2020 and April 3, 2020",,Y,N
17,2020-05-09,Ethnicity and risk of death in patients hospitalised for COVID-19 infection: an observational cohort study in an urban catchment area,http://medrxiv.org/cgi/content/short/2020.05.05.20092296v1?rss=1,MedRxiv,,,,,,,,AHR=1.12,0.78,1.62,0.54,Not Significant,Adjusted,Extracted,Age; Ethnicity; Sex; Comorbidity count,Retrospective observational study,2217,"University Hospitals Birmingham NHS Foundation Trust (UHB) in Birmingham, UK between Mar 10, 2020 and Apr 17, 2020",,N,N
18,2020-05-08,Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study,https://doi.org/10.1016/j.ajogmf.2020.100134,American Journal of Obstetrics and Gynecology MFM,OR 0.49,0.12,2.06,0.33,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,64,"Multi-center study enrolling admissions  from  March  5  to  April  20,  2020",,Y,N
19,2020-05-07,OpenSAFELY: factors associated with COVID-19-related hospital death in the linked electronic health records of 17 million adult NHS patients.,http://medrxiv.org/cgi/content/short/2020.05.06.20092999v1?rss=1,MedRxiv,,,,,,,,AHR 1.71,1.44,2.02,,Significant,Adjusted,Extracted,"age, gender, obesity, smoking status, diabetes, cancer, hematological malignancy, asthma, chronic respiratory disease, heart disease, hypertension, chronic liver disease, stroke or dementia, other neurological disease, reduced kidney function, organ transplant, spleen disease, rheumatoid arthritis/lupus/psoriasis, immunosuppression",Retrospective observational study,"17,425,445","TPP general practice in England from February 1 to April 25, 2020.",,N,N
20,2020-05-06,Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort,https://doi.org/10.1101/2020.05.01.20087932,MedRxiv,,,,,,,,OR 1.95,0.82,4.63,0.13,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,217,"Montefiore Medical Center/University Hospital for Albert Einstein College of Medicine, Moses Campus between March 20th to March 31st 2020",,N,Y
21,2020-05-05,Pre-Existing Characteristics Associated with Covid-19 Illness Severity,https://doi.org/10.1101/2020.04.29.20084533,MedRxiv,AOR 2.13,1.19,3.83,<0.05,Significant,Adjusted,Extracted,,,,,,,,"Age, Gender, African American race, Hispanic ethnicity, Obesity, Hypertension, Diabetes Mellitus, Elixhauser comorbidity score, Prior myocardial infarcion or heart failure, Prior COPD or asthma, ACE inhibitor use, Angiotensin receptor blocker use",Retrospective observational study,442,"Cedars-Sinai Health System includes Cedars-Sinai Medical Center (CSMC), Marina Del Rey Hospital (MDRH), and affiliated clinics from Feb 26, 2020 to Mar 21, 2020",,Y,N
22,2020-05-05,Pre-Existing Characteristics Associated with Covid-19 Illness Severity,https://doi.org/10.1101/2020.04.29.20084533,MedRxiv,AOR 2.46,1.45,4.18,<0.05,Significant,Adjusted,Extracted,,,,,,,,"Age, Gender",Retrospective observational study,442,"Cedars-Sinai Health System includes Cedars-Sinai Medical Center (CSMC), Marina Del Rey Hospital (MDRH), and affiliated clinics from Feb 26, 2020 to Mar 21, 2020",,Y,N
23,2020-05-04,Analysis of hospitalized COVID-19 patients in the Mount Sinai Health System using electronic medical records (EMR) reveals important prognostic factors for improved clinical outcomes,https://doi.org/10.1101/2020.04.28.20075788,MedRxiv,,,,,,,,OR 0.63,1.0,0.05,,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,3273,Mount Sinai Health System from 2/24/2020 to 4/15/2020,,N,N
24,2020-05-03,COVID-19 Infections and Outcomes in a Live Registry of Heart Failure Patients Across an Integrated Health Care System Short COVID-19 Infection in Heart Failure Corresponding Author,doi.org/10.1101/2020.04.27.20082016,medrxiv,,,,,,,,OR 0.42,0.16,1.1,0.07,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,181,"Yale Heart Failure Registry (NCT04237701) on April 16th, 2020",,N,N
25,2020-05-01,"Cardiovascular Disease, Drug Therapy, and Mortality in Covid-19",https://www.ncbi.nlm.nih.gov/pubmed/32356626/,N Engl J Med,,,,,,,,OR 0.53,1.1,0.15,,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,8910,"169 hospitals located in 11 countries in Asia, Europe, and North America from Dec 20, 2019 to March 15, 2020",,N,N
26,2020-04-30,Association of Obesity with Disease Severity among Patients with COVIDâ€19,https://doi.org/10.1002/oby.22859,Obesity (Silver Spring),AOR=0.80,0.26,2.45,0.7,Not Significant,Adjusted,Extracted,,,,,,,,Age; Race; Gender; BMI; Diabetes; Hypertension; Heart disease; Lung disease,Retrospective observational study,103,"Rhode Island Hospital, The Miriam Hospital, or Newport Hospital, in Rhode Island, USA, between February 17th and April 5th, 2020",,Y,N
27,2020-04-30,Association of Obesity with Disease Severity among Patients with COVIDâ€19,https://doi.org/10.1002/oby.22859,Obesity (Silver Spring),AOR=0.86,0.29,2.56,0.8,Not Significant,Adjusted,Extracted,,,,,,,,Age; Race; Gender,Retrospective observational study,103,"Rhode Island Hospital, The Miriam Hospital, or Newport Hospital, in Rhode Island, USA, between February 17th and April 5th, 2020",,Y,N
28,2020-04-30,Association of Obesity with Disease Severity among Patients with COVIDâ€19,https://doi.org/10.1002/oby.22859,Obesity (Silver Spring),OR=0.93,0.34,2.54,0.89,Not Significant,Not Adjusted,Extracted,,,,,,,,,Retrospective observational study,103,"Rhode Island Hospital, The Miriam Hospital, or Newport Hospital, in Rhode Island, USA, between February 17th and April 5th, 2020",,Y,N
