date,study,study_link,journal,severe,severe_lower_bound,severe_upper_bound,severe_p-value,severe_significant,fatality,fatality_lower_bound,fatality_upper_bound,fatality_p-value,fatality_significant,fatality_adjusted,fatality_calculated,multivariate_adjustment,study_type,sample_size,study_population,critical_only,discharged_vs._death?,key_word,Severe_number,Fatality_number,severe_outside_bounds,fatality_outside_bounds,context
2020-06-30,Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.jcv.2020.104371,Journal of Virology,,,,,,ES=0.44,0.27,0.62,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"21 Studies, 47,344 patients","Medline, Sino Med, EMBASE, and Cochrane Library databases from Jan 1, 2020 to Mar 10, 2020",N,N,['redirecting'],,0.44,0,0,"Date: 2020-06-30. Study: Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis. Study Link: https://doi.org/10.1016/j.jcv.2020.104371. Journal: Journal of Virology. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : ES=0.44. Fatality lower bound : 0.27. Fatality upper bound: 0.62. Fatality p-value: <0.05. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Systematic review and meta-analysis. Sample Size: 21 Studies, 47,344 patients. Study Population: Medline, Sino Med, EMBASE, and Cochrane Library databases from Jan 1, 2020 to Mar 10, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 0.44. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['redirecting']. "
2020-06-30,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",https://doi.org/10.1016/j.jcv.2020.104364,Journal of Clinical Virology,OR 1.47,0.57,3.81,0.43,Not Significant,,,,,,,,,Retrospective observational study,221,"Zhongnan Hospital of Wuhan University, Wuhan, China from January 2, 2020 to February 10, 2020",N,N,['redirecting'],1.47,,0,0,"Date: 2020-06-30. Study: Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China. Study Link: https://doi.org/10.1016/j.jcv.2020.104364. Journal: Journal of Clinical Virology. Severe: OR 1.47. Severe Lower Bound: 0.57. Severe Upper Bound: 3.81. Severe p-value: 0.43. Severe Significant: Not Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 221. Study Population: Zhongnan Hospital of Wuhan University, Wuhan, China from January 2, 2020 to February 10, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: 1.47. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['redirecting']. "
2020-06-04,Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.,https://doi.org/10.1111/dom.14105,"Diabetes, obesity & metabolism",OR=2.58,1.93,3.45,,Significant,OR=2.95,1.93,4.53,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,2116,"PubMed, Embase, medRxiv,  Cochrane library,  and CNKI databases for articles published up  to 03/20/2020",N,N,[],2.58,2.95,0,0,"Date: 2020-06-04. Study: Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.. Study Link: https://doi.org/10.1111/dom.14105. Journal: Diabetes, obesity & metabolism. Severe: OR=2.58. Severe Lower Bound: 1.93. Severe Upper Bound: 3.45. Severe p-value: nan. Severe Significant: Significant. Fatalyty : OR=2.95. Fatality lower bound : 1.93. Fatality upper bound: 4.53. Fatality p-value: nan. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Systematic review and meta-analysis. Sample Size: 2116. Study Population: PubMed, Embase, medRxiv,  Cochrane library,  and CNKI databases for articles published up  to 03/20/2020. Critical Only: N. Discharged vs Death: N.Severe_number: 2.58. Fatality_number: 2.95. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-06-04,Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.,https://doi.org/10.1111/dom.14105,"Diabetes, obesity & metabolism",AOR=5.29,1.07,26.02,<0.05,Significant,,,,,,,,Age; Gender,Retrospective observational study,66,"Huai'an Fourth people's hospital from Jan 23, 2020 to Mar 9, 2020",N,N,[],5.29,,0,0,"Date: 2020-06-04. Study: Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.. Study Link: https://doi.org/10.1111/dom.14105. Journal: Diabetes, obesity & metabolism. Severe: AOR=5.29. Severe Lower Bound: 1.07. Severe Upper Bound: 26.02. Severe p-value: <0.05. Severe Significant: Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: Age; Gender. Study Type: Retrospective observational study. Sample Size: 66. Study Population: Huai'an Fourth people's hospital from Jan 23, 2020 to Mar 9, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: 5.29. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-06-04,Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.,https://doi.org/10.1111/dom.14105,"Diabetes, obesity & metabolism",OR=4.67,1.19,18.26,<0.05,Significant,,,,,,,,,Retrospective observational study,66,"Huai'an Fourth people's hospital from Jan 23, 2020 to Mar 9, 2020",N,N,[],4.67,,0,0,"Date: 2020-06-04. Study: Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.. Study Link: https://doi.org/10.1111/dom.14105. Journal: Diabetes, obesity & metabolism. Severe: OR=4.67. Severe Lower Bound: 1.19. Severe Upper Bound: 18.26. Severe p-value: <0.05. Severe Significant: Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 66. Study Population: Huai'an Fourth people's hospital from Jan 23, 2020 to Mar 9, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: 4.67. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-06-03,Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19,https://doi.org/10.2217/bmm-2020-0254,Biomarkers in medicine,OR 1.62,0.74,3.54,0.23,Not Significant,,,,,,,,,Retrospective observational study,134,Central Hospital of Wuhan from 1 January to 20 February 2020,Y,N,[],1.62,,0,0,Date: 2020-06-03. Study: Plasma albumin levels predict risk for nonsurvivors in critically ill patients with COVID-19. Study Link: https://doi.org/10.2217/bmm-2020-0254. Journal: Biomarkers in medicine. Severe: OR 1.62. Severe Lower Bound: 0.74. Severe Upper Bound: 3.54. Severe p-value: 0.23. Severe Significant: Not Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 134. Study Population: Central Hospital of Wuhan from 1 January to 20 February 2020. Critical Only: Y. Discharged vs Death: N.Severe_number: 1.62. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. 
2020-06-01,COVID-19 with Different Severities: A Multicenter Study of Clinical Features,https://www.ncbi.nlm.nih.gov/pubmed/32275452/,Am J Respir Crit Care Med,OR 0.79,0.32,1.94,0.61,Not Significant,,,,,,,,,Retrospective observational study,476,"Jinyintan Hospital in Wuhan, Shanghai Public Health Clinical Center in Shanghai, and Tongling People’s Hospital in Anhui Province, China from January 1, 2020, to February 15, 2020.",Y,N,"['cases', 'clusters', 'transmission', 'community', 'sporadic']",0.79,,0,0,"Date: 2020-06-01. Study: COVID-19 with Different Severities: A Multicenter Study of Clinical Features. Study Link: https://www.ncbi.nlm.nih.gov/pubmed/32275452/. Journal: Am J Respir Crit Care Med. Severe: OR 0.79. Severe Lower Bound: 0.32. Severe Upper Bound: 1.94. Severe p-value: 0.61. Severe Significant: Not Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 476. Study Population: Jinyintan Hospital in Wuhan, Shanghai Public Health Clinical Center in Shanghai, and Tongling People’s Hospital in Anhui Province, China from January 1, 2020, to February 15, 2020.. Critical Only: Y. Discharged vs Death: N.Severe_number: 0.79. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['cases', 'clusters', 'transmission', 'community', 'sporadic']. "
2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,OR 1.13,1.0,1.27,0.05,Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",N,N,"['patients', 'preprint', 'new', 'medrxiv', 'york']",,1.13,0,0,"Date: 2020-06-01. Study: Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System. Study Link: http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1. Journal: MedRxiv. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR 1.13. Fatality lower bound : 1.0. Fatality upper bound: 1.27. Fatality p-value: 0.05. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Calculated. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 13442. Study Population: New York City Health and Hospital between March 5 and April 9, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 1.13. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'preprint', 'new', 'medrxiv', 'york']. "
2020-05-31,Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19,https://www.sciencedirect.com/science/article/pii/S120197122030415X?v=s5,Int J Infect Dis,,,,,,HR=1.1,0.6,1.9,0.88,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,204,"Renmin  Hospital  of  Wuhan University  from  January 31 to February  20, 2020",N,N,[],,1.1,0,0,"Date: 2020-05-31. Study: Clinical Features and Short-term Outcomes of Elderly Patients With COVID-19. Study Link: https://www.sciencedirect.com/science/article/pii/S120197122030415X?v=s5. Journal: Int J Infect Dis. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : HR=1.1. Fatality lower bound : 0.6. Fatality upper bound: 1.9. Fatality p-value: 0.88. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 204. Study Population: Renmin  Hospital  of  Wuhan University  from  January 31 to February  20, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 1.1. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-05-29,A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.,https://doi.org/10.1016/j.jinf.2020.05.064,J Infect,HR=1.42,1.04,1.95,<0.05,Significant,HR=1.24,0.95,1.6,0.11,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,1157,"King’s College Hospital and Princess Royal University Hospital from March 1, 2020 and April 17, 2020",Y,N,['redirecting'],1.42,1.24,0,0,"Date: 2020-05-29. Study: A clinical risk score to identify patients with COVID-19 at high risk of critical care admission or death: an observational cohort study.. Study Link: https://doi.org/10.1016/j.jinf.2020.05.064. Journal: J Infect. Severe: HR=1.42. Severe Lower Bound: 1.04. Severe Upper Bound: 1.95. Severe p-value: <0.05. Severe Significant: Significant. Fatalyty : HR=1.24. Fatality lower bound : 0.95. Fatality upper bound: 1.6. Fatality p-value: 0.11. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 1157. Study Population: King’s College Hospital and Princess Royal University Hospital from March 1, 2020 and April 17, 2020. Critical Only: Y. Discharged vs Death: N.Severe_number: 1.42. Fatality_number: 1.24. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['redirecting']. "
