date,study,study_link,journal,severe,severe_lower_bound,severe_upper_bound,severe_p-value,severe_significant,fatality,fatality_lower_bound,fatality_upper_bound,fatality_p-value,fatality_significant,fatality_adjusted,fatality_calculated,multivariate_adjustment,study_type,sample_size,study_population,critical_only,discharged_vs._death?,key_word,Severe_number,Fatality_number,severe_outside_bounds,fatality_outside_bounds,context
2020-06-01,Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System,http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1,MedRxiv,,,,,,OR 0.90,0.77,1.05,0.2,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,13442,"New York City Health and Hospital between March 5 and April 9, 2020",N,N,"['patients', 'preprint', 'new', 'medrxiv', 'york']",,0.9,0,0,"Date: 2020-06-01. Study: Characteristics and Outcomes of COVID-19 Patients in New York City's Public Hospital System. Study Link: http://medrxiv.org/cgi/content/short/2020.05.29.20086645v1?rss=1. Journal: MedRxiv. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR 0.90. Fatality lower bound : 0.77. Fatality upper bound: 1.05. Fatality p-value: 0.2. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Calculated. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 13442. Study Population: New York City Health and Hospital between March 5 and April 9, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 0.9. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'preprint', 'new', 'medrxiv', 'york']. "
2020-05-28,Obesity and COVID-19: an Italian snapshot,https://www.ncbi.nlm.nih.gov/pubmed/32463545/,Obesity,,,,,,OR: 0.26,0.01,5.2,0.38,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,92,"92 patients stayed at least one day in the COVID-19 medical ward from March 23 to April 11, 2020",N,N,"['patients', 'p', 'obesity', 'severe', 'age']",,0.26,0,0,"Date: 2020-05-28. Study: Obesity and COVID-19: an Italian snapshot. Study Link: https://www.ncbi.nlm.nih.gov/pubmed/32463545/. Journal: Obesity. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : OR: 0.26. Fatality lower bound : 0.01. Fatality upper bound: 5.2. Fatality p-value: 0.38. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 92. Study Population: 92 patients stayed at least one day in the COVID-19 medical ward from March 23 to April 11, 2020. Critical Only: N. Discharged vs Death: N.Severe_number: nan. Fatality_number: 0.26. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'p', 'obesity', 'severe', 'age']. "
2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,,,,,,AOR=1.5,1.1,2.1,,Significant,Adjusted,Extracted,Age; Sex,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",Y,N,"['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']",,1.5,0,0,"Date: 2020-05-26. Study: Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1. Journal: MedRxiv. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : AOR=1.5. Fatality lower bound : 1.1. Fatality upper bound: 2.1. Fatality p-value: nan. Fatality Significant: Significant. Fatality Adjusted: Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: Age; Sex. Study Type: Retrospective observational study. Sample Size: 9519. Study Population: Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020. Critical Only: Y. Discharged vs Death: N.Severe_number: nan. Fatality_number: 1.5. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']. "
2020-05-26,"Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort",http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1,MedRxiv,OR 0.99,0.68,1.44,0.95,Not Significant,OR=1.2,0.9,1.6,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,9519,"Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020",Y,N,"['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']",0.99,1.2,0,0,"Date: 2020-05-26. Study: Characteristics and predictors of hospitalization and death in the first 9,519 cases with a positive RT-PCR test for SARS-CoV-2 in Denmark: A nationwide cohort. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111823v1?rss=1. Journal: MedRxiv. Severe: OR 0.99. Severe Lower Bound: 0.68. Severe Upper Bound: 1.44. Severe p-value: 0.95. Severe Significant: Not Significant. Fatalyty : OR=1.2. Fatality lower bound : 0.9. Fatality upper bound: 1.6. Fatality p-value: nan. Fatality Significant: Not Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 9519. Study Population: Danish SARS-CoV-2 cohort from February 27th, 2020 to April 30th, 2020. Critical Only: Y. Discharged vs Death: N.Severe_number: 0.99. Fatality_number: 1.2. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'cases', 'comorbidities', 'medrxiv', 'disease']. "
2020-05-26,COVID-19: Impact of Obesity and Diabetes in Disease Severity,http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1,MedRxiv,AOR=1.91,0.94,3.84,0.07,Not Significant,,,,,,,,Age; Gender; BMI; Hypertension,Retrospective observational study,1158,Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.,Y,N,"['patients', 'icu', 'preprint', 'obesity', 'diabetes']",1.91,,0,0,"Date: 2020-05-26. Study: COVID-19: Impact of Obesity and Diabetes in Disease Severity. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1. Journal: MedRxiv. Severe: AOR=1.91. Severe Lower Bound: 0.94. Severe Upper Bound: 3.84. Severe p-value: 0.07. Severe Significant: Not Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: Age; Gender; BMI; Hypertension. Study Type: Retrospective observational study. Sample Size: 1158. Study Population: Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.. Critical Only: Y. Discharged vs Death: N.Severe_number: 1.91. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'icu', 'preprint', 'obesity', 'diabetes']. "
2020-05-26,COVID-19: Impact of Obesity and Diabetes in Disease Severity,http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1,MedRxiv,OR=2.45,1.26,4.74,<0.05,Significant,,,,,,,,,Retrospective observational study,1158,Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.,Y,N,"['patients', 'icu', 'preprint', 'obesity', 'diabetes']",2.45,,0,0,"Date: 2020-05-26. Study: COVID-19: Impact of Obesity and Diabetes in Disease Severity. Study Link: http://medrxiv.org/cgi/content/short/2020.05.24.20111724v1?rss=1. Journal: MedRxiv. Severe: OR=2.45. Severe Lower Bound: 1.26. Severe Upper Bound: 4.74. Severe p-value: <0.05. Severe Significant: Significant. Fatalyty : nan. Fatality lower bound : nan. Fatality upper bound: nan. Fatality p-value: nan. Fatality Significant: nan. Fatality Adjusted: nan. Fatality Calculated: nan. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 1158. Study Population: Jaber Al-Ahmad Al-Sabah Hospital in Kuwait from 24 February to 7 April 2020.. Critical Only: Y. Discharged vs Death: N.Severe_number: 2.45. Fatality_number: nan. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['patients', 'icu', 'preprint', 'obesity', 'diabetes']. "
2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,AOR 1.1,0.9,1.3,0.42,Not Significant,Adjusted,Extracted,"age decile, male sex, CAD, CHF, HTN, DM, hyperlipidemia, CKD, history of cancer, smoking (past or present), BMI 30 - 40 kg/m2, BMI  40 kg/m2 and race",Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",N,Y,[],,1.1,0,0,"Date: 2020-05-23. Study: Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.. Study Link: https://doi.org/10.1002/oby.22913. Journal: Obesity. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : AOR 1.1. Fatality lower bound : 0.9. Fatality upper bound: 1.3. Fatality p-value: 0.42. Fatality Significant: Not Significant. Fatality Adjusted: Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: age decile, male sex, CAD, CHF, HTN, DM, hyperlipidemia, CKD, history of cancer, smoking (past or present), BMI 30 - 40 kg/m2, BMI  40 kg/m2 and race. Study Type: Retrospective observational study. Sample Size: 2834. Study Population: Age > 50, New York City between March 1st and May 17th, 2020. Critical Only: N. Discharged vs Death: Y.Severe_number: nan. Fatality_number: 1.1. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,AOR 1.1,0.5,2.3,0.76,Not Significant,Adjusted,Extracted,"age decile, male sex, CAD, CHF, HTN, DM, hyperlipidemia, CKD, history of cancer, smoking (past or present), BMI 30 - 40 kg/m2, BMI  40 kg/m2 and race",Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",N,Y,[],,1.1,0,0,"Date: 2020-05-23. Study: Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.. Study Link: https://doi.org/10.1002/oby.22913. Journal: Obesity. Severe: nan. Severe Lower Bound: nan. Severe Upper Bound: nan. Severe p-value: nan. Severe Significant: nan. Fatalyty : AOR 1.1. Fatality lower bound : 0.5. Fatality upper bound: 2.3. Fatality p-value: 0.76. Fatality Significant: Not Significant. Fatality Adjusted: Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: age decile, male sex, CAD, CHF, HTN, DM, hyperlipidemia, CKD, history of cancer, smoking (past or present), BMI 30 - 40 kg/m2, BMI  40 kg/m2 and race. Study Type: Retrospective observational study. Sample Size: 572. Study Population: Age < 50, New York City between March 1st and May 17th, 2020. Critical Only: N. Discharged vs Death: Y.Severe_number: nan. Fatality_number: 1.1. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: []. "
2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.25,1.14,1.37,,Significant,RR 0.73,0.61,0.86,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"111 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",Y,N,"['preprint', 'na', 'covid', 'patients', 'disease']",1.25,0.73,0,0,"Date: 2020-05-22. Study: Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET). Study Link: http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1. Journal: MedRxiv. Severe: RR 1.25. Severe Lower Bound: 1.14. Severe Upper Bound: 1.37. Severe p-value: nan. Severe Significant: Significant. Fatalyty : RR 0.73. Fatality lower bound : 0.61. Fatality upper bound: 0.86. Fatality p-value: nan. Fatality Significant: Significant. Fatality Adjusted: Not Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: nan. Study Type: Retrospective observational study. Sample Size: 2490. Study Population: 111 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah). Critical Only: Y. Discharged vs Death: N.Severe_number: 1.25. Fatality_number: 0.73. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'na', 'covid', 'patients', 'disease']. "
2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.31,1.16,1.47,,Significant,RR 1.09,0.92,1.3,,Not Significant,Adjusted,Extracted,"age, sex, race/ethnicity, smoker, hypertension, obesity, diabetes, chronic lung disease, cardiovascular disease, neurologic disease, renal disease, immunosuppression, hematologic disorders, and rheumatologic or autoimmune disease",Retrospective observational study,2490,"112 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",Y,N,"['preprint', 'na', 'covid', 'patients', 'disease']",1.31,1.09,0,0,"Date: 2020-05-22. Study: Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET). Study Link: http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1. Journal: MedRxiv. Severe: RR 1.31. Severe Lower Bound: 1.16. Severe Upper Bound: 1.47. Severe p-value: nan. Severe Significant: Significant. Fatalyty : RR 1.09. Fatality lower bound : 0.92. Fatality upper bound: 1.3. Fatality p-value: nan. Fatality Significant: Not Significant. Fatality Adjusted: Adjusted. Fatality Calculated: Extracted. Multivariate Adjustment: age, sex, race/ethnicity, smoker, hypertension, obesity, diabetes, chronic lung disease, cardiovascular disease, neurologic disease, renal disease, immunosuppression, hematologic disorders, and rheumatologic or autoimmune disease. Study Type: Retrospective observational study. Sample Size: 2490. Study Population: 112 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah). Critical Only: Y. Discharged vs Death: N.Severe_number: 1.31. Fatality_number: 1.09. Severe_outside_bounds: 0. Fatality_outside_bounds: 0. Key word: ['preprint', 'na', 'covid', 'patients', 'disease']. "
